sample,0,1,2,3,4,5,6,7,8,9
SAMPLE 69,-0.35442847,0.18494977,-0.1579411,-0.8400357,-0.87800103,-0.19627179,-0.031135686,-0.096573666,1.1446116,0.02100459
SAMPLE 70,-0.36053944,0.17996638,-0.254215,-0.78467107,-0.84786075,-0.14459786,-0.08440321,-0.13743195,1.0339701,0.0028128834
SAMPLE 71,-0.32358932,0.2531666,-0.17257822,-0.7221107,-0.82309437,-0.09947661,-0.03840055,-0.1704315,1.0636735,0.04655364
SAMPLE 72,-0.30091363,0.28648782,-0.20516497,-0.83825797,-1.0262613,-0.10468271,0.16727148,-0.1187015,1.046147,-0.08824118
SAMPLE 73,-0.34164754,0.20730823,-0.25189397,-0.7650412,-0.85294336,-0.15197204,-0.11068013,-0.10958556,1.0972668,0.02238954
SAMPLE 74,-0.35852093,0.19177109,-0.23212938,-0.81388855,-0.7819349,-0.15660763,-0.12282445,-0.07343794,1.1010182,0.052004516
SAMPLE 75,-0.3308507,0.30222335,-0.21607696,-0.8224096,-1.0708717,-0.14487843,0.14226985,-0.12408752,1.0388042,0.0033089318
SAMPLE 76,-0.3871474,0.1356864,-0.2512645,-0.7576845,-0.805551,-0.11653087,-0.13910484,-0.076040484,1.0502954,0.008621669
SAMPLE 77,-0.39433742,0.14240892,-0.18741708,-0.6682838,-0.748013,-0.013196406,-0.24699952,-0.079108275,1.0535194,0.026861567
SAMPLE 78,-0.36841595,0.19932853,-0.2777279,-0.7900986,-0.8707357,-0.12913877,-0.05963458,-0.097003385,1.0450274,-0.020202372
SAMPLE 79,-0.311139,0.27519605,-0.138149,-0.7620404,-0.7461569,-0.15691507,-0.060013723,-0.18452261,1.1270183,0.10628115
SAMPLE 80,0.17449936,0.8804785,0.16031058,-0.17068139,-0.15648189,0.60850984,0.44687375,-0.61600703,1.1492016,0.6370442
SAMPLE 81,0.17180806,0.98782283,0.23564848,0.084302835,-0.12743612,0.6223571,0.6259779,-0.56937635,1.1689591,0.7053438
SAMPLE 82,0.19620906,1.0122166,-0.011657636,-0.05596858,0.10268506,0.5777401,0.48754242,-0.54540503,1.0523465,0.5755116
SAMPLE 83,0.18584561,0.97925633,0.053764388,0.043091793,0.0063038045,0.6659062,0.4308507,-0.62398815,1.0456288,0.7121595
SAMPLE 84,0.17924032,0.9726584,0.05741086,-0.022034299,-0.013029274,0.5682699,0.4926548,-0.5236169,1.0308046,0.63034827
SAMPLE 85,0.23985289,0.8651962,0.31301412,-0.66142875,0.2898176,0.02913603,0.13033481,-0.58813924,1.1388855,0.66221845
SAMPLE 86,0.14823364,0.9838771,0.55721205,-0.18488707,0.12259232,0.14807566,0.12379768,-0.57647747,1.0948288,0.6589906
SAMPLE 87,0.0845946,0.7222138,-0.18792929,-0.64698625,-0.025456518,-0.22824796,0.048738696,-0.48174596,1.1101191,0.55424035
SAMPLE 88,0.37390876,1.1862956,0.17626964,0.14800009,-0.15076993,-0.348895,0.24244179,-0.61658764,1.3445739,0.68792087
SAMPLE 89,0.3069872,0.96637976,-0.12484341,-0.40740883,-0.26596388,-0.09301239,-0.031148836,-0.6734235,1.1816643,0.622336
SAMPLE 90,0.37593713,1.1580827,0.41283876,0.21476968,0.049324103,0.2790856,0.06416149,-0.6787222,0.68904054,0.7001183
SAMPLE 91,0.20972438,1.0554764,0.50222224,-0.24796627,-0.15203436,0.2346372,0.28598306,-0.5858832,1.1286261,0.587497
SAMPLE 92,0.15887941,0.8389681,0.42622834,-0.6444352,0.007985402,0.07580481,0.11049937,-0.5193893,1.0923977,0.60620373
SAMPLE 93,0.28515375,1.1064868,0.73593605,-0.020604672,-0.16564976,0.33333108,0.25590652,-0.6026347,0.9832974,0.5926202
SAMPLE 94,0.1271863,0.9991106,0.24497183,-0.5096452,-0.22253253,0.21413411,0.72626853,-0.48269188,1.2587256,0.57133573
SAMPLE 95,0.29270586,0.97338486,0.370654,-0.4615896,0.38016966,0.08425054,0.09555924,-0.64381427,1.0225887,0.6923263
SAMPLE 96,0.3246339,1.108001,0.4430796,-0.011468928,0.19837697,0.28065982,0.13288236,-0.6534386,0.94541746,0.7137977
SAMPLE 97,0.24883696,0.97788304,0.44971213,-0.5264669,0.09972133,-0.024034824,0.18392223,-0.5638943,1.1748303,0.6742517
SAMPLE 98,0.31403708,0.9684524,0.36604232,-0.53203094,0.35962468,0.07596443,0.1313303,-0.6368945,0.99607015,0.7001044
SAMPLE 99,0.37690592,1.1129085,0.497265,-0.10021156,-0.1404469,0.3470217,0.19612771,-0.6674901,0.874253,0.4745471
SAMPLE 100,-0.08145039,0.76631176,0.6106519,-0.3043742,-1.2056838,-0.20668079,0.6081938,-0.45780867,1.155893,-0.1668012
SAMPLE 101,-0.040257018,0.7439301,0.6023127,-0.5231373,-1.1118321,-0.2793286,0.55638665,-0.48540393,1.2562107,-0.08307177
SAMPLE 102,-0.1484285,0.639773,0.69265264,0.050438985,-1.0672697,-0.25343645,0.4996932,-0.44088838,1.1569182,-0.095322944
SAMPLE 103,-0.13074157,0.5570954,0.56866336,-0.58720315,-1.110819,-0.10550533,0.3807308,-0.3782991,1.2154373,-0.18399732
SAMPLE 104,-0.036845095,0.6859217,0.7447823,-0.10940705,-1.0842685,-0.38976234,0.47926846,-0.54090613,1.1856021,-0.020017333
SAMPLE 105,-0.09013589,0.6583016,0.4733358,-0.5717698,-1.1862389,-0.1905189,0.51620877,-0.41856688,1.1381917,-0.10950139
SAMPLE 106,-0.0794471,0.631485,0.74129957,-0.10125889,-1.1298162,-0.29880682,0.39499778,-0.4624236,1.186554,-0.016909976
SAMPLE 107,-0.057130452,0.7571341,0.57902694,-0.3691504,-1.1488293,-0.31970307,0.5951797,-0.4361535,1.1242263,-0.10421393
SAMPLE 108,-0.090353236,0.71766305,0.59408545,-0.51114273,-1.1880387,-0.27448148,0.5462388,-0.39780122,1.2057188,-0.109748326
SAMPLE 109,-0.06671959,0.6006388,0.52067035,-0.22193807,-1.1189992,-0.27902046,0.34930906,-0.52275366,1.2426012,-0.093535155
SAMPLE 110,-0.07917968,0.69182515,0.58856887,-0.5659649,-1.139915,-0.2195469,0.6225103,-0.4317516,1.1834219,-0.04018472
SAMPLE 111,-0.3739782,0.19006304,-0.33218333,-0.8172011,-0.72296184,-0.21177481,-0.08118775,-0.102749616,1.1425413,0.015712792
SAMPLE 112,-0.33830377,0.25313482,-0.22305407,-0.7917416,-0.94508284,-0.1426716,0.086535856,-0.10638398,1.0247782,0.0068378304
SAMPLE 113,-0.31059545,0.35134023,-0.15156806,-0.7940271,-1.0320299,-0.10056448,0.26528266,-0.15342383,1.0731649,0.0063243234
SAMPLE 114,-0.36270744,0.112957984,-0.3524625,-0.7185869,-0.78611803,-0.024293482,-0.15206629,-0.10624902,0.9874785,0.03213054
SAMPLE 115,-0.3286589,0.23458906,-0.21546213,-0.77017504,-0.738291,-0.1511134,-0.094225876,-0.14733012,1.0628668,0.059572306
SAMPLE 116,-0.370921,0.17014997,-0.26908252,-0.76706076,-0.8346954,-0.14564402,-0.083516054,-0.075631656,1.045548,-0.01777112
SAMPLE 117,-0.35713163,0.16516991,-0.24616235,-0.7207055,-0.70893365,-0.09463987,-0.16079755,-0.14041404,1.0461228,0.030315867
SAMPLE 118,-0.3548767,0.22099216,-0.21212249,-0.7431243,-0.91575366,-0.10363722,-0.014686591,-0.1152882,1.1270674,-0.013922639
SAMPLE 119,-0.34297806,0.251251,-0.23202768,-0.7334176,-0.9183193,-0.14469853,0.026704509,-0.10957617,1.0538774,0.01986891
SAMPLE 120,-0.35171336,0.22839342,-0.2455692,-0.8447179,-0.9722468,-0.13088623,0.070371255,-0.12275835,1.0133895,0.0061859842
SAMPLE 121,-0.07596253,0.6276199,0.33836576,0.061632246,-1.0386419,0.046110753,0.52318335,-0.5286089,0.7809753,-0.18647231
SAMPLE 122,-0.064373635,0.5970038,0.40729946,-0.020518048,-1.0891644,-0.0027318213,0.5510266,-0.45750594,0.91949254,-0.0760666
SAMPLE 123,-0.2761176,0.29730272,0.014060932,-0.04050838,-0.19602713,-0.1192414,0.09091808,-0.19471872,1.2798326,-0.18971735
SAMPLE 124,-0.15779448,0.63958615,0.6652239,-0.15940845,-1.2284029,-0.309177,0.3896473,-0.46160838,1.2425393,0.014660285
SAMPLE 125,-0.3555409,0.36494505,1.1595006,-0.37016028,-0.62288105,0.18831804,0.18504234,-0.21724506,1.0036956,0.2727571
SAMPLE 126,-0.26140773,0.28901476,0.07489794,-0.5070375,-0.49586508,-0.25565606,0.22819331,-0.20247018,1.5062554,-0.20928589
SAMPLE 127,-0.2734324,0.28436708,-0.02395406,-0.28733513,-0.39627382,-0.1562084,0.11371428,-0.19778374,1.3545804,-0.18177477
SAMPLE 128,0.13579483,0.9278223,0.13536201,0.25555176,-0.02127195,-0.30929026,0.22742876,-0.4969347,1.3846112,0.76156723
