sample,cluster,methylation_class
SAMPLE 1349,4,"LGG, DNT"
SAMPLE 1350,6,"PLEX, PED B"
SAMPLE 1351,2,LYMPHO
SAMPLE 1352,14,"DMG, K27"
SAMPLE 1353,12,A IDH
SAMPLE 1354,11,"EPN, PF A"
SAMPLE 1355,3,"GBM, RTK I"
SAMPLE 1356,12,O IDH
SAMPLE 1357,12,A IDH
SAMPLE 1358,12,O IDH
SAMPLE 1359,8,"A IDH, HG"
SAMPLE 1360,12,O IDH
SAMPLE 1361,12,O IDH
SAMPLE 1362,12,O IDH
SAMPLE 1363,12,O IDH
SAMPLE 1364,12,O IDH
SAMPLE 1365,12,O IDH
SAMPLE 1366,12,"A IDH, HG"
SAMPLE 1367,12,O IDH
SAMPLE 1368,12,"A IDH, HG"
SAMPLE 1369,12,"A IDH, HG"
SAMPLE 1370,12,O IDH
SAMPLE 1371,12,"A IDH, HG"
SAMPLE 1372,12,O IDH
SAMPLE 1373,12,O IDH
SAMPLE 1374,8,"A IDH, HG"
SAMPLE 1375,8,"A IDH, HG"
SAMPLE 1376,12,O IDH
SAMPLE 1377,12,O IDH
SAMPLE 1378,12,O IDH
SAMPLE 1379,12,O IDH
SAMPLE 1380,12,"A IDH, HG"
SAMPLE 1381,12,O IDH
SAMPLE 1382,12,O IDH
SAMPLE 1383,12,"A IDH, HG"
SAMPLE 1384,12,O IDH
SAMPLE 1385,12,O IDH
SAMPLE 1386,4,MELCYT
SAMPLE 1387,2,MELAN
SAMPLE 1388,5,MELAN
SAMPLE 1389,2,MELAN
SAMPLE 1390,4,"SCHW, MEL"
SAMPLE 1391,4,MELCYT
SAMPLE 1392,4,MELCYT
SAMPLE 1393,4,MELCYT
SAMPLE 1394,6,MELCYT
SAMPLE 1395,4,MELCYT
SAMPLE 1396,4,"SCHW, MEL"
SAMPLE 1397,2,MELAN
SAMPLE 1398,5,MELAN
SAMPLE 1399,4,"SCHW, MEL"
SAMPLE 1400,4,"SCHW, MEL"
SAMPLE 1401,2,MELAN
SAMPLE 1402,11,"EPN, PF A"
SAMPLE 1403,5,"PITAD, PRL"
SAMPLE 1404,2,LYMPHO
SAMPLE 1405,4,"SUBEPN, PF"
SAMPLE 1406,4,"SUBEPN, PF"
SAMPLE 1407,4,"SUBEPN, PF"
SAMPLE 1408,4,"SUBEPN, PF"
SAMPLE 1409,5,"ENB, B"
SAMPLE 1410,4,"SCHW, MEL"
SAMPLE 1411,4,"LGG, PA PF"
SAMPLE 1412,10,"CNS NB, FOXR2"
SAMPLE 1413,13,"MB, SHH CHL AD"
SAMPLE 1414,13,"MB, SHH CHL AD"
SAMPLE 1415,13,"MB, SHH CHL AD"
SAMPLE 1416,1,"MB, SHH INF"
SAMPLE 1417,13,"MB, SHH CHL AD"
SAMPLE 1418,13,"MB, SHH CHL AD"
SAMPLE 1419,4,"PGG, nC"
SAMPLE 1420,4,"PGG, nC"
SAMPLE 1421,4,"EPN, SPINE"
SAMPLE 1422,4,"EPN, SPINE"
SAMPLE 1423,4,"SUBEPN, SPINE"
SAMPLE 1424,4,"EPN, SPINE"
SAMPLE 1425,5,"ENB, A"
SAMPLE 1426,5,"ENB, B"
SAMPLE 1427,5,"ENB, A"
SAMPLE 1428,5,"ENB, B"
SAMPLE 1429,5,"ENB, B"
SAMPLE 1430,11,"EPN, RELA"
SAMPLE 1431,4,"PGG, nC"
SAMPLE 1432,4,"SCHW, MEL"
SAMPLE 1433,12,O IDH
SAMPLE 1434,3,"GBM, MES"
SAMPLE 1435,4,"EPN, SPINE"
SAMPLE 1436,4,"EPN, SPINE"
SAMPLE 1437,4,"EPN, MPE"
SAMPLE 1438,4,"EPN, SPINE"
SAMPLE 1439,4,"EPN, MPE"
SAMPLE 1440,1,LIPN
SAMPLE 1441,4,"EPN, SPINE"
SAMPLE 1442,5,"CONTR, ADENOPIT"
SAMPLE 1443,5,"CONTR, ADENOPIT"
SAMPLE 1444,6,"CONTR, ADENOPIT"
SAMPLE 1445,4,"EPN, SPINE"
SAMPLE 1446,4,"LGG, DNT"
SAMPLE 1447,13,"MB, G3"
SAMPLE 1448,13,"MB, G3"
SAMPLE 1449,4,"LGG, SEGA"
SAMPLE 1450,4,"LGG, SEGA"
SAMPLE 1451,4,"LGG, SEGA"
SAMPLE 1452,4,"LGG, SEGA"
SAMPLE 1453,4,"LGG, DIG/DIA"
SAMPLE 1454,4,"LGG, DNT"
SAMPLE 1455,11,"EPN, PF A"
SAMPLE 1456,11,"EPN, PF A"
SAMPLE 1457,11,"EPN, PF A"
SAMPLE 1458,11,"EPN, PF A"
SAMPLE 1459,11,"EPN, PF A"
SAMPLE 1460,11,"EPN, PF A"
SAMPLE 1461,11,"EPN, PF A"
SAMPLE 1462,4,"SUBEPN, PF"
SAMPLE 1463,11,"EPN, PF A"
SAMPLE 1464,4,"LGG, MYB"
SAMPLE 1465,4,"LGG, DNT"
SAMPLE 1466,4,"LGG, PA/GG ST"
SAMPLE 1467,4,PXA
SAMPLE 1468,4,"LGG, DNT"
SAMPLE 1469,4,"LGG, MYB"
SAMPLE 1470,4,"LGG, GG"
SAMPLE 1471,4,"LGG, GG"
SAMPLE 1472,4,"LGG, GG"
SAMPLE 1473,4,"LGG, DNT"
SAMPLE 1474,4,"LGG, GG"
SAMPLE 1475,4,"LGG, DNT"
SAMPLE 1476,4,"LGG, MYB"
SAMPLE 1477,4,"LGG, DNT"
SAMPLE 1478,4,"LGG, GG"
SAMPLE 1479,4,"LGG, GG"
SAMPLE 1480,4,"LGG, DNT"
SAMPLE 1481,4,"LGG, GG"
SAMPLE 1482,4,"LGG, PA/GG ST"
SAMPLE 1483,4,"LGG, GG"
SAMPLE 1484,4,"LGG, GG"
SAMPLE 1485,4,"LGG, GG"
SAMPLE 1486,4,"LGG, GG"
SAMPLE 1487,4,"LGG, GG"
SAMPLE 1488,4,"LGG, GG"
SAMPLE 1489,12,A IDH
SAMPLE 1490,8,"A IDH, HG"
SAMPLE 1491,3,"GBM, MES"
SAMPLE 1492,5,"PITAD, STH SPA"
SAMPLE 1493,5,"PITAD, STH SPA"
SAMPLE 1494,5,"PITAD, STH SPA"
SAMPLE 1495,5,"PITAD, STH SPA"
SAMPLE 1496,5,"PITAD, STH SPA"
SAMPLE 1497,5,"PITAD, STH SPA"
SAMPLE 1498,5,"PITAD, STH SPA"
SAMPLE 1499,5,"PITAD, STH SPA"
SAMPLE 1500,5,"PITAD, STH SPA"
SAMPLE 1501,5,"PITAD, STH SPA"
SAMPLE 1502,5,"PITAD, STH SPA"
SAMPLE 1503,5,"PITAD, STH DNS B"
SAMPLE 1504,5,"PITAD, STH SPA"
SAMPLE 1505,5,"PITAD, STH SPA"
SAMPLE 1506,5,"PITAD, STH SPA"
SAMPLE 1507,5,"PITAD, STH DNS A"
SAMPLE 1508,5,"PITAD, STH DNS A"
SAMPLE 1509,5,"PITAD, STH DNS A"
SAMPLE 1510,5,"PITAD, STH DNS A"
SAMPLE 1511,5,"PITAD, STH DNS A"
SAMPLE 1512,5,"CONTR, PINEAL"
SAMPLE 1513,7,"GBM, G34"
SAMPLE 1514,4,"LGG, DIG/DIA"
SAMPLE 1515,3,"GBM, RTK I"
SAMPLE 1516,5,"PITAD, STH DNS B"
SAMPLE 1517,5,"PITAD, STH DNS A"
SAMPLE 1518,5,"PITAD, STH DNS B"
SAMPLE 1519,5,"PITAD, STH DNS B"
SAMPLE 1520,5,"PITAD, STH DNS B"
SAMPLE 1521,5,"PITAD, STH DNS A"
SAMPLE 1522,5,"PITAD, FSH LH"
SAMPLE 1523,13,"MB, WNT"
SAMPLE 1524,4,"LGG, PA PF"
SAMPLE 1525,13,"MB, SHH CHL AD"
SAMPLE 1526,2,"ATRT, MYC"
SAMPLE 1527,4,"EPN, SPINE"
SAMPLE 1528,4,"EPN, SPINE"
SAMPLE 1529,4,"EPN, SPINE"
SAMPLE 1530,4,"EPN, SPINE"
SAMPLE 1531,4,"EPN, SPINE"
SAMPLE 1532,4,"EPN, SPINE"
SAMPLE 1533,4,"EPN, SPINE"
SAMPLE 1534,11,"HGNET, MN1"
SAMPLE 1535,4,"EPN, PF B"
SAMPLE 1536,11,"EPN, PF A"
SAMPLE 1537,11,"EPN, PF A"
SAMPLE 1538,4,"SUBEPN, PF"
SAMPLE 1539,4,"SUBEPN, PF"
SAMPLE 1540,4,"EPN, PF B"
SAMPLE 1541,11,"EPN, PF A"
SAMPLE 1542,4,"SUBEPN, PF"
SAMPLE 1543,11,"EPN, PF B"
SAMPLE 1544,11,"EPN, PF A"
SAMPLE 1545,11,"EPN, PF A"
SAMPLE 1546,11,"EPN, PF A"
SAMPLE 1547,11,"EPN, RELA"
SAMPLE 1548,11,"EPN, PF A"
SAMPLE 1549,4,"EPN, PF B"
SAMPLE 1550,11,"EPN, PF A"
SAMPLE 1551,11,"EPN, RELA"
SAMPLE 1552,4,"LGG, GG"
SAMPLE 1553,5,"PITAD, STH DNS B"
SAMPLE 1554,5,"PITAD, FSH LH"
SAMPLE 1555,5,"PITAD, FSH LH"
SAMPLE 1556,5,"PITAD, FSH LH"
SAMPLE 1557,5,"PITAD, FSH LH"
SAMPLE 1558,5,"PITAD, FSH LH"
SAMPLE 1559,5,"PITAD, FSH LH"
SAMPLE 1560,5,"PITAD, FSH LH"
SAMPLE 1561,5,"PITAD, FSH LH"
SAMPLE 1562,5,"PITAD, FSH LH"
SAMPLE 1563,5,"PITAD, FSH LH"
SAMPLE 1564,5,"PITAD, FSH LH"
SAMPLE 1565,5,"PITAD, FSH LH"
SAMPLE 1566,5,"PITAD, FSH LH"
SAMPLE 1567,5,"PITAD, ACTH"
SAMPLE 1568,5,"PITAD, PRL"
SAMPLE 1569,5,"PITAD, STH DNS B"
SAMPLE 1570,5,"PITAD, STH SPA"
SAMPLE 1571,5,"PITAD, PRL"
SAMPLE 1572,5,"PITAD, STH SPA"
SAMPLE 1573,5,"PITAD, PRL"
SAMPLE 1574,5,"PITAD, ACTH"
SAMPLE 1575,5,"PITAD, ACTH"
SAMPLE 1576,5,"PITAD, PRL"
SAMPLE 1577,6,EWS
SAMPLE 1578,11,"EPN, RELA"
SAMPLE 1579,12,O IDH
SAMPLE 1580,2,MELAN
SAMPLE 1581,2,MELAN
SAMPLE 1582,12,O IDH
SAMPLE 1583,2,MELCYT
SAMPLE 1584,4,PITUI
SAMPLE 1585,4,"LGG, DNT"
SAMPLE 1586,4,"LGG, PA PF"
SAMPLE 1587,6,"PTPR, A"
SAMPLE 1588,4,PITUI
SAMPLE 1589,4,PITUI
SAMPLE 1590,4,PITUI
SAMPLE 1591,4,PITUI
SAMPLE 1592,4,"CONTR, WM"
SAMPLE 1593,4,"CONTR, WM"
SAMPLE 1594,4,"CONTR, WM"
SAMPLE 1595,11,PXA
SAMPLE 1596,4,SCHW
SAMPLE 1597,4,"EPN, SPINE"
SAMPLE 1598,6,"CONTR, PINEAL"
SAMPLE 1599,5,"CONTR, ADENOPIT"
SAMPLE 1600,5,"CONTR, ADENOPIT"
SAMPLE 1601,5,"CONTR, ADENOPIT"
SAMPLE 1602,5,PLASMA
SAMPLE 1603,5,"PIN T, PPT"
SAMPLE 1604,14,"DMG, K27"
SAMPLE 1605,5,"PIN T, PPT"
SAMPLE 1606,5,"PIN T,  PB B"
SAMPLE 1607,5,"PIN T,  PB B"
SAMPLE 1608,11,"EPN, PF A"
SAMPLE 1609,11,"EPN, PF B"
SAMPLE 1610,4,"EPN, SPINE"
SAMPLE 1611,11,"EPN, PF A"
SAMPLE 1612,6,MNG
SAMPLE 1613,6,MNG
SAMPLE 1614,6,MNG
SAMPLE 1615,6,MNG
SAMPLE 1616,6,MNG
SAMPLE 1617,6,MNG
SAMPLE 1618,6,MNG
SAMPLE 1619,4,SCHW
SAMPLE 1620,4,SCHW
SAMPLE 1621,4,SCHW
SAMPLE 1622,4,SCHW
SAMPLE 1623,4,"LGG, PA/GG ST"
SAMPLE 1624,4,"LGG, GG"
SAMPLE 1625,5,"PITAD, PRL"
SAMPLE 1626,12,A IDH
SAMPLE 1627,7,"GBM, G34"
SAMPLE 1628,14,"DMG, K27"
SAMPLE 1629,4,"LGG, DNT"
SAMPLE 1630,2,"ATRT, TYR"
SAMPLE 1631,6,"PLEX, PED A"
SAMPLE 1632,4,"CONTR, REACT"
SAMPLE 1633,11,"GBM, MYCN"
SAMPLE 1634,11,"GBM, MYCN"
SAMPLE 1635,7,"GBM, G34"
SAMPLE 1636,7,"GBM, G34"
SAMPLE 1637,11,"HGNET, BCOR"
SAMPLE 1638,7,"GBM, G34"
SAMPLE 1639,11,PXA
SAMPLE 1640,11,"GBM, MYCN"
SAMPLE 1641,14,"DMG, K27"
SAMPLE 1642,14,"DMG, K27"
SAMPLE 1643,14,"DMG, K27"
SAMPLE 1644,14,"DMG, K27"
SAMPLE 1645,4,PXA
SAMPLE 1646,7,"GBM, RTK III"
SAMPLE 1647,7,"GBM, G34"
SAMPLE 1648,14,"DMG, K27"
SAMPLE 1649,14,"DMG, K27"
SAMPLE 1650,4,PXA
SAMPLE 1651,4,PXA
SAMPLE 1652,4,"DMG, K27"
SAMPLE 1653,14,"DMG, K27"
SAMPLE 1654,14,"DMG, K27"
SAMPLE 1655,14,"DMG, K27"
SAMPLE 1656,14,"DMG, K27"
SAMPLE 1657,5,"ENB, A"
SAMPLE 1658,5,"ENB, A"
SAMPLE 1659,11,"HGNET, MN1"
SAMPLE 1660,6,"PLEX, AD"
SAMPLE 1661,4,"LGG, DNT"
SAMPLE 1662,4,"LGG, DNT"
SAMPLE 1663,4,"LGG, DNT"
SAMPLE 1664,12,O IDH
SAMPLE 1665,7,"GBM, G34"
SAMPLE 1666,2,"ATRT, SHH"
SAMPLE 1667,1,"MB, SHH INF"
SAMPLE 1668,4,"LGG, MYB"
SAMPLE 1669,6,"PTPR, B"
SAMPLE 1670,4,"LGG, DNT"
SAMPLE 1671,11,"EPN, PF A"
SAMPLE 1672,4,"LGG, DNT"
SAMPLE 1673,13,"MB, G4"
SAMPLE 1674,3,"GBM, RTK II"
SAMPLE 1675,3,"GBM, RTK II"
SAMPLE 1676,14,ANA PA
SAMPLE 1677,5,"PIN T,  PB B"
SAMPLE 1678,4,"LGG, DNT"
SAMPLE 1679,6,"CONTR, PINEAL"
SAMPLE 1680,4,"EPN, MPE"
SAMPLE 1681,14,"DMG, K27"
SAMPLE 1682,12,A IDH
SAMPLE 1683,4,PXA
SAMPLE 1684,6,CHORDM
SAMPLE 1685,6,CHORDM
SAMPLE 1686,3,"GBM, RTK II"
SAMPLE 1687,4,"EPN, PF B"
SAMPLE 1688,2,MELCYT
SAMPLE 1689,2,MELCYT
SAMPLE 1690,4,"SCHW, MEL"
SAMPLE 1691,2,MELCYT
SAMPLE 1692,4,"SCHW, MEL"
SAMPLE 1693,3,"GBM, MES"
SAMPLE 1694,5,"PIN T, PPT"
SAMPLE 1695,6,"PLEX, PED A"
SAMPLE 1696,4,"LGG, PA PF"
SAMPLE 1697,4,"LGG, PA MID"
SAMPLE 1698,5,"PIN T,  PB A"
SAMPLE 1699,4,"LGG, RGNT"
SAMPLE 1700,5,"PIN T, PPT"
SAMPLE 1701,1,LIPN
SAMPLE 1702,5,"CONTR, ADENOPIT"
SAMPLE 1703,4,IHG
SAMPLE 1704,4,"LGG, SEGA"
SAMPLE 1705,4,"LGG, SEGA"
SAMPLE 1706,4,"LGG, SEGA"
SAMPLE 1707,4,"LGG, SEGA"
SAMPLE 1708,5,"CONTR, PINEAL"
SAMPLE 1709,12,O IDH
SAMPLE 1710,4,PXA
SAMPLE 1711,4,CHGL
SAMPLE 1712,1,LIPN
SAMPLE 1713,6,EWS
SAMPLE 1714,4,"LGG, PA PF"
SAMPLE 1715,4,"CONTR, INFLAM"
SAMPLE 1716,3,"GBM, RTK II"
SAMPLE 1717,3,"GBM, MES"
SAMPLE 1718,3,"GBM, RTK I"
SAMPLE 1719,4,"CONTR, INFLAM"
SAMPLE 1720,3,"GBM, RTK II"
SAMPLE 1721,3,"GBM, RTK II"
SAMPLE 1722,4,"CONTR, INFLAM"
SAMPLE 1723,4,"CONTR, INFLAM"
SAMPLE 1724,3,"GBM, RTK II"
SAMPLE 1725,4,"CONTR, INFLAM"
SAMPLE 1726,3,"GBM, RTK II"
SAMPLE 1727,3,"GBM, RTK I"
SAMPLE 1728,4,"CONTR, INFLAM"
SAMPLE 1729,3,"GBM, MES"
SAMPLE 1730,4,"LGG, PA/GG ST"
SAMPLE 1731,11,"EPN, PF A"
SAMPLE 1732,10,"CNS NB, FOXR2"
SAMPLE 1733,12,A IDH
SAMPLE 1734,4,"LGG, SEGA"
SAMPLE 1735,13,"MB, G4"
SAMPLE 1736,5,"PIN T,  PB A"
SAMPLE 1737,2,"HGNET, MN1"
SAMPLE 1738,4,"SUBEPN, PF"
SAMPLE 1739,3,"GBM, RTK II"
SAMPLE 1740,3,"GBM, RTK II"
SAMPLE 1741,4,"CONTR, INFLAM"
SAMPLE 1742,4,"CONTR, INFLAM"
SAMPLE 1743,4,"CONTR, INFLAM"
SAMPLE 1744,3,"GBM, RTK II"
SAMPLE 1745,3,"GBM, MES"
SAMPLE 1746,4,"CONTR, INFLAM"
SAMPLE 1747,3,"GBM, RTK I"
SAMPLE 1748,4,"CONTR, INFLAM"
SAMPLE 1749,3,"GBM, RTK II"
SAMPLE 1750,3,"GBM, RTK II"
SAMPLE 1751,3,"GBM, MES"
SAMPLE 1752,6,"CPH, PAP"
SAMPLE 1753,6,"CPH, ADM"
SAMPLE 1754,14,ANA PA
SAMPLE 1755,4,"CONTR, WM"
SAMPLE 1756,4,"CONTR, WM"
SAMPLE 1757,6,CHORDM
SAMPLE 1758,6,"CONTR, PINEAL"
SAMPLE 1759,4,MELCYT
SAMPLE 1760,11,"GBM, MYCN"
SAMPLE 1761,7,"GBM, G34"
SAMPLE 1762,14,"DMG, K27"
SAMPLE 1763,4,IHG
SAMPLE 1764,7,"GBM, RTK III"
SAMPLE 1765,14,"DMG, K27"
SAMPLE 1766,4,"LGG, SEGA"
SAMPLE 1767,6,"PLEX, AD"
SAMPLE 1768,6,"PLEX, AD"
SAMPLE 1769,6,"PLEX, AD"
SAMPLE 1770,6,"PLEX, AD"
SAMPLE 1771,6,"PLEX, PED B"
SAMPLE 1772,6,"PLEX, AD"
SAMPLE 1773,6,"PLEX, AD"
SAMPLE 1774,11,"HGNET, MN1"
SAMPLE 1775,3,"GBM, RTK II"
SAMPLE 1776,6,"PTPR, B"
SAMPLE 1777,4,"CONTR, INFLAM"
SAMPLE 1778,3,"GBM, RTK I"
SAMPLE 1779,3,"GBM, RTK I"
SAMPLE 1780,3,"GBM, RTK II"
SAMPLE 1781,3,"GBM, MES"
SAMPLE 1782,3,"GBM, RTK II"
SAMPLE 1783,3,"GBM, MES"
SAMPLE 1784,3,"GBM, RTK I"
SAMPLE 1785,4,"CONTR, INFLAM"
SAMPLE 1786,4,"CONTR, INFLAM"
SAMPLE 1787,3,"GBM, RTK II"
SAMPLE 1788,3,"GBM, RTK II"
SAMPLE 1789,3,"GBM, RTK II"
SAMPLE 1790,4,"CONTR, INFLAM"
SAMPLE 1791,4,"CONTR, INFLAM"
SAMPLE 1792,3,"GBM, RTK II"
SAMPLE 1793,4,"CONTR, INFLAM"
SAMPLE 1794,3,"GBM, RTK I"
SAMPLE 1795,7,"GBM, G34"
SAMPLE 1796,5,PLASMA
SAMPLE 1797,12,"A IDH, HG"
SAMPLE 1798,6,SFT HMPC
SAMPLE 1799,7,"GBM, G34"
SAMPLE 1800,14,"DMG, K27"
SAMPLE 1801,14,"GBM, MID"
SAMPLE 1802,14,"DMG, K27"
SAMPLE 1803,14,"DMG, K27"
SAMPLE 1804,14,"DMG, K27"
SAMPLE 1805,14,"DMG, K27"
SAMPLE 1806,14,"GBM, RTK III"
SAMPLE 1807,14,"DMG, K27"
SAMPLE 1808,7,"GBM, RTK III"
SAMPLE 1809,7,"GBM, G34"
SAMPLE 1810,14,"DMG, K27"
SAMPLE 1811,14,"DMG, K27"
SAMPLE 1812,14,"DMG, K27"
SAMPLE 1813,11,"GBM, MYCN"
SAMPLE 1814,7,"GBM, RTK III"
SAMPLE 1815,14,"DMG, K27"
SAMPLE 1816,2,PXA
SAMPLE 1817,11,"GBM, MYCN"
SAMPLE 1818,7,"GBM, G34"
SAMPLE 1819,14,"GBM, MID"
SAMPLE 1820,14,"DMG, K27"
SAMPLE 1821,7,"GBM, RTK III"
SAMPLE 1822,14,"DMG, K27"
SAMPLE 1823,14,"DMG, K27"
SAMPLE 1824,14,"DMG, K27"
SAMPLE 1825,14,"DMG, K27"
SAMPLE 1826,14,"DMG, K27"
SAMPLE 1827,12,O IDH
SAMPLE 1828,12,O IDH
SAMPLE 1829,5,"PIN T, PPT"
SAMPLE 1830,12,A IDH
SAMPLE 1831,12,A IDH
SAMPLE 1832,3,"GBM, RTK I"
SAMPLE 1833,3,"GBM, RTK II"
SAMPLE 1834,3,"GBM, RTK II"
SAMPLE 1835,12,O IDH
SAMPLE 1836,2,MELCYT
SAMPLE 1837,4,"EPN, SPINE"
SAMPLE 1838,5,"CONTR, PINEAL"
SAMPLE 1839,4,"CONTR, WM"
SAMPLE 1840,2,MELAN
SAMPLE 1841,6,"EFT, CIC"
SAMPLE 1842,10,"CNS NB, FOXR2"
SAMPLE 1843,10,"CNS NB, FOXR2"
SAMPLE 1844,14,"DMG, K27"
SAMPLE 1845,12,"A IDH, HG"
SAMPLE 1846,13,"MB, WNT"
SAMPLE 1847,12,"A IDH, HG"
SAMPLE 1848,3,"GBM, MES"
SAMPLE 1849,3,"GBM, RTK II"
SAMPLE 1850,14,"DMG, K27"
SAMPLE 1851,4,PXA
SAMPLE 1852,4,PXA
SAMPLE 1853,4,PXA
SAMPLE 1854,4,CHGL
SAMPLE 1855,14,"DMG, K27"
SAMPLE 1856,4,PXA
SAMPLE 1857,4,PXA
SAMPLE 1858,4,IHG
SAMPLE 1859,5,"ENB, A"
SAMPLE 1860,4,"EPN, MPE"
SAMPLE 1861,3,"GBM, RTK II"
SAMPLE 1862,3,"GBM, RTK I"
SAMPLE 1863,3,"GBM, RTK II"
SAMPLE 1864,10,"CNS NB, FOXR2"
SAMPLE 1865,13,"MB, G3"
SAMPLE 1866,5,"ENB, B"
SAMPLE 1867,2,EWS
SAMPLE 1868,4,"LGG, MYB"
SAMPLE 1869,5,"ENB, A"
SAMPLE 1870,5,"ENB, A"
SAMPLE 1871,1,LIPN
SAMPLE 1872,5,"ENB, B"
SAMPLE 1873,5,"ENB, B"
SAMPLE 1874,5,"ENB, B"
SAMPLE 1875,5,"ENB, A"
SAMPLE 1876,5,"ENB, B"
SAMPLE 1877,5,"ENB, A"
SAMPLE 1878,5,"ENB, B"
SAMPLE 1879,4,CHORDM
SAMPLE 1880,4,"LGG, DIG/DIA"
SAMPLE 1881,4,"LGG, SEGA"
SAMPLE 1882,4,"EPN, MPE"
SAMPLE 1883,3,"GBM, RTK II"
SAMPLE 1884,12,"A IDH, HG"
SAMPLE 1885,3,"GBM, RTK I"
SAMPLE 1886,9,ETMR
SAMPLE 1887,9,ETMR
SAMPLE 1888,11,"HGNET, BCOR"
SAMPLE 1889,1,"MB, SHH INF"
SAMPLE 1890,1,"MB, SHH INF"
SAMPLE 1891,1,"MB, SHH INF"
SAMPLE 1892,13,"MB, SHH CHL AD"
SAMPLE 1893,13,"MB, SHH CHL AD"
SAMPLE 1894,1,"MB, SHH INF"
SAMPLE 1895,12,A IDH
SAMPLE 1896,12,A IDH
SAMPLE 1897,12,A IDH
SAMPLE 1898,12,A IDH
SAMPLE 1899,12,A IDH
SAMPLE 1900,12,A IDH
SAMPLE 1901,12,A IDH
SAMPLE 1902,12,A IDH
SAMPLE 1903,12,O IDH
SAMPLE 1904,12,A IDH
SAMPLE 1905,6,EWS
SAMPLE 1906,11,"EPN, PF B"
SAMPLE 1907,4,"EPN, PF B"
SAMPLE 1908,13,"MB, G3"
SAMPLE 1909,6,"PTPR, A"
SAMPLE 1910,12,O IDH
SAMPLE 1911,12,A IDH
SAMPLE 1912,6,EWS
SAMPLE 1913,14,"DMG, K27"
SAMPLE 1914,14,"DMG, K27"
SAMPLE 1915,4,"LGG, DNT"
SAMPLE 1916,4,"LGG, PA/GG ST"
SAMPLE 1917,4,"LGG, PA MID"
SAMPLE 1918,4,"LGG, PA/GG ST"
SAMPLE 1919,4,"LGG, SEGA"
SAMPLE 1920,4,CN
SAMPLE 1921,13,"MB, G3"
SAMPLE 1922,2,"ATRT, TYR"
SAMPLE 1923,2,"ATRT, MYC"
SAMPLE 1924,6,"EFT, CIC"
SAMPLE 1925,4,PXA
SAMPLE 1926,12,A IDH
SAMPLE 1927,4,MELCYT
SAMPLE 1928,12,O IDH
SAMPLE 1929,4,CN
SAMPLE 1930,5,"PIN T, PPT"
SAMPLE 1931,4,CN
SAMPLE 1932,13,"MB, G4"
SAMPLE 1933,4,"LGG, PA PF"
SAMPLE 1934,4,PXA
SAMPLE 1935,14,"DMG, K27"
SAMPLE 1936,4,"SUBEPN, PF"
SAMPLE 1937,12,A IDH
SAMPLE 1938,4,"LGG, PA PF"
SAMPLE 1939,4,"EPN, MPE"
SAMPLE 1940,4,"SUBEPN, ST"
SAMPLE 1941,4,"SUBEPN, ST"
SAMPLE 1942,4,"SUBEPN, PF"
SAMPLE 1943,4,"SUBEPN, SPINE"
SAMPLE 1944,4,"SUBEPN, PF"
SAMPLE 1945,4,"SUBEPN, PF"
SAMPLE 1946,4,"SUBEPN, ST"
SAMPLE 1947,4,"SUBEPN, PF"
SAMPLE 1948,4,"SUBEPN, PF"
SAMPLE 1949,4,"EPN, MPE"
SAMPLE 1950,4,"EPN, MPE"
SAMPLE 1951,4,"EPN, MPE"
SAMPLE 1952,4,"EPN, MPE"
SAMPLE 1953,4,"EPN, MPE"
SAMPLE 1954,4,"SUBEPN, PF"
SAMPLE 1955,4,"SUBEPN, PF"
SAMPLE 1956,4,"CONTR, REACT"
SAMPLE 1957,10,"CNS NB, FOXR2"
SAMPLE 1958,6,EWS
SAMPLE 1959,14,"DMG, K27"
SAMPLE 1960,14,"DMG, K27"
SAMPLE 1961,14,"DMG, K27"
SAMPLE 1962,11,"GBM, MYCN"
SAMPLE 1963,14,"DMG, K27"
SAMPLE 1964,11,"EPN, PF B"
SAMPLE 1965,11,"EPN, PF B"
SAMPLE 1966,5,"ENB, B"
SAMPLE 1967,4,MELCYT
SAMPLE 1968,6,EWS
SAMPLE 1969,13,"MB, G3"
SAMPLE 1970,11,"HGNET, MN1"
SAMPLE 1971,14,"DMG, K27"
SAMPLE 1972,14,"DMG, K27"
SAMPLE 1973,13,"MB, G3"
SAMPLE 1974,3,"GBM, RTK II"
SAMPLE 1975,4,"SUBEPN, PF"
SAMPLE 1976,3,"GBM, MES"
SAMPLE 1977,3,"GBM, MES"
SAMPLE 1978,4,"LGG, PA PF"
SAMPLE 1979,4,"EPN, SPINE"
SAMPLE 1980,2,"ATRT, SHH"
SAMPLE 1981,2,"ATRT, SHH"
SAMPLE 1982,2,"ATRT, TYR"
SAMPLE 1983,2,"ATRT, MYC"
SAMPLE 1984,2,"ATRT, SHH"
SAMPLE 1985,2,"ATRT, TYR"
SAMPLE 1986,2,"ATRT, SHH"
SAMPLE 1987,2,"ATRT, SHH"
SAMPLE 1988,2,"ATRT, TYR"
SAMPLE 1989,2,"ATRT, MYC"
SAMPLE 1990,2,"ATRT, SHH"
SAMPLE 1991,2,"ATRT, SHH"
SAMPLE 1992,12,A IDH
SAMPLE 1993,3,"GBM, RTK I"
SAMPLE 1994,4,"LGG, PA/GG ST"
SAMPLE 1995,14,"GBM, MID"
SAMPLE 1996,11,"SUBEPN, SPINE"
SAMPLE 1997,4,"LGG, DNT"
