sample,cluster,methylation_class
SAMPLE 203,13,"MB, G4"
SAMPLE 204,13,"MB, G4"
SAMPLE 205,13,"MB, G3"
SAMPLE 206,13,"MB, G3"
SAMPLE 207,13,"MB, G4"
SAMPLE 208,10,"CNS NB, FOXR2"
SAMPLE 209,9,ETMR
SAMPLE 210,2,"ATRT, SHH"
SAMPLE 211,11,"EPN, RELA"
SAMPLE 212,9,ETMR
SAMPLE 213,9,ETMR
SAMPLE 214,10,"CNS NB, FOXR2"
SAMPLE 215,2,"ATRT, SHH"
SAMPLE 216,11,"HGNET, BCOR"
SAMPLE 217,2,"ATRT, MYC"
SAMPLE 218,9,ETMR
SAMPLE 219,2,"ATRT, SHH"
SAMPLE 220,2,"ATRT, SHH"
SAMPLE 221,9,ETMR
SAMPLE 222,9,ETMR
SAMPLE 223,2,"ATRT, SHH"
SAMPLE 224,13,"MB, SHH CHL AD"
SAMPLE 225,13,"MB, SHH CHL AD"
SAMPLE 226,13,"MB, SHH CHL AD"
SAMPLE 227,13,"MB, SHH CHL AD"
SAMPLE 228,13,"MB, SHH CHL AD"
SAMPLE 229,13,"MB, G4"
SAMPLE 230,13,"MB, G3"
SAMPLE 231,4,"LGG, PA PF"
SAMPLE 232,4,"LGG, PA MID"
SAMPLE 233,4,"LGG, PA PF"
SAMPLE 234,3,"GBM, MES"
SAMPLE 235,3,"GBM, RTK II"
SAMPLE 236,3,"GBM, RTK II"
SAMPLE 237,7,"GBM, RTK I"
SAMPLE 238,3,"GBM, MES"
SAMPLE 239,3,"GBM, MES"
SAMPLE 240,3,"GBM, MES"
SAMPLE 241,3,"GBM, MES"
SAMPLE 242,3,"GBM, RTK II"
SAMPLE 243,3,"GBM, MES"
SAMPLE 244,3,"GBM, RTK II"
SAMPLE 245,3,"GBM, RTK II"
SAMPLE 246,3,"GBM, MES"
SAMPLE 247,3,"GBM, RTK II"
SAMPLE 248,3,"GBM, RTK II"
SAMPLE 249,3,"GBM, RTK II"
SAMPLE 250,3,"GBM, RTK II"
