sample,dim1,dim2,cluster
SAMPLE 263,11.952376,-0.28957748,7
SAMPLE 264,8.360464,1.4280499,14
SAMPLE 265,12.0007,-0.3017604,7
SAMPLE 266,8.262107,1.2967511,14
SAMPLE 267,14.399725,13.58056,3
SAMPLE 268,14.000453,13.671882,3
SAMPLE 269,14.266391,13.948582,3
SAMPLE 270,14.178733,12.351907,3
SAMPLE 271,14.22773,14.001764,3
SAMPLE 272,14.2802925,13.838626,3
SAMPLE 273,4.192965,1.8143601,11
SAMPLE 274,5.2709637,9.001081,11
SAMPLE 275,5.140671,8.950045,4
SAMPLE 276,8.814916,19.75288,13
SAMPLE 277,8.861354,19.753645,13
SAMPLE 278,-4.6599073,-6.2475953,13
SAMPLE 279,-9.810335,-2.8818622,13
SAMPLE 280,-5.0985417,-7.6184554,13
SAMPLE 281,-5.319491,-7.5247703,13
SAMPLE 282,-9.772033,-2.843029,13
SAMPLE 283,-9.739771,-2.8077438,13
SAMPLE 284,-4.696951,-8.09496,13
SAMPLE 285,-5.27932,-8.002519,13
SAMPLE 286,1.4670521,5.58811,4
SAMPLE 287,1.1372528,5.186229,4
SAMPLE 288,0.026521472,5.1663637,4
SAMPLE 289,0.67523736,5.171667,4
SAMPLE 290,-9.780389,-2.8524556,13
SAMPLE 291,-5.2220416,-7.6154847,13
SAMPLE 292,-4.60962,-7.5220656,13
SAMPLE 293,-4.951742,-7.919899,13
SAMPLE 294,-9.778332,-2.8497381,13
SAMPLE 295,-9.764942,-2.8366208,13
SAMPLE 296,-0.19742562,5.3764005,4
SAMPLE 297,0.65101314,5.184447,4
SAMPLE 298,0.05648,5.194053,4
SAMPLE 299,0.51479334,5.0615516,4
SAMPLE 300,0.016616434,5.2773523,4
SAMPLE 301,1.1266978,5.291097,4
SAMPLE 302,0.7495654,5.3386164,4
SAMPLE 303,0.17141794,5.3077426,4
SAMPLE 304,0.37289828,5.04521,4
SAMPLE 305,0.8581177,5.0382137,4
SAMPLE 306,0.17617162,5.561759,4
SAMPLE 307,0.44226196,5.546082,4
SAMPLE 308,-0.12301821,5.3990817,4
SAMPLE 309,0.23603794,5.4728055,4
SAMPLE 310,0.69702655,5.142132,4
SAMPLE 311,-0.11439939,5.476089,4
SAMPLE 312,1.1958976,5.1786113,4
SAMPLE 313,0.5253764,5.9300213,4
SAMPLE 314,0.23387773,5.3043165,4
SAMPLE 315,0.38755202,5.4088297,4
SAMPLE 316,0.10292782,5.3541727,4
SAMPLE 317,0.22927757,5.2068233,4
SAMPLE 318,-0.08491488,5.3103356,4
SAMPLE 319,-0.072646916,5.4276257,4
SAMPLE 320,0.43244514,5.0197296,4
SAMPLE 321,0.29873002,5.431427,4
SAMPLE 322,0.35095367,6.0672226,4
SAMPLE 323,0.10392701,5.4354153,4
SAMPLE 324,0.99821705,5.329482,4
SAMPLE 325,0.18734753,5.8737683,4
SAMPLE 326,0.5338899,5.4235854,4
SAMPLE 327,0.42516056,5.4132586,4
SAMPLE 328,-0.13035227,5.3660107,4
SAMPLE 329,4.5689282,1.9701983,11
SAMPLE 330,4.412522,2.0444078,11
SAMPLE 331,4.4360275,2.0395787,11
SAMPLE 332,4.8037934,1.5144013,11
SAMPLE 333,2.3655083,-0.374465,11
SAMPLE 334,3.1005268,8.286082,4
SAMPLE 335,2.3578434,-0.100285664,11
SAMPLE 336,5.105291,1.6180481,11
SAMPLE 337,12.155282,-0.39908287,7
SAMPLE 338,4.593583,1.9912524,11
SAMPLE 339,4.283185,1.9042572,11
SAMPLE 340,4.6082754,1.8332776,11
SAMPLE 341,4.776166,1.49337,11
SAMPLE 342,4.856293,2.6374793,4
SAMPLE 343,3.1249557,8.288912,4
SAMPLE 344,4.215588,2.02549,11
SAMPLE 345,3.1788332,8.2932625,4
SAMPLE 346,5.213829,-5.1565022,6
SAMPLE 347,4.280304,2.1354465,11
SAMPLE 348,4.669659,1.9067302,11
SAMPLE 349,4.704895,2.0944588,11
SAMPLE 350,4.429585,3.4649134,4
SAMPLE 351,4.222496,2.090357,11
SAMPLE 352,3.058075,8.295787,4
SAMPLE 353,4.47641,2.197473,11
SAMPLE 354,3.199141,8.2941,4
SAMPLE 355,4.529921,2.2186773,11
SAMPLE 356,1.4682838,7.850615,4
SAMPLE 357,4.2390995,1.9037632,11
SAMPLE 358,4.39504,3.4407523,4
SAMPLE 359,4.396594,1.8136778,11
SAMPLE 360,4.1382446,1.9046667,11
SAMPLE 361,4.2400436,2.079631,11
SAMPLE 362,4.807817,2.2946997,11
SAMPLE 363,4.2578673,1.8261979,11
SAMPLE 364,0.747097,6.2431626,4
SAMPLE 365,1.220005,6.8727903,4
SAMPLE 366,1.2147046,5.2844915,4
SAMPLE 367,0.49144703,5.4980216,4
SAMPLE 368,0.1999802,5.0380597,4
SAMPLE 369,0.847064,5.1003523,4
SAMPLE 370,3.3374386,5.4483094,4
SAMPLE 371,0.38673776,5.900434,4
SAMPLE 372,0.29363662,5.2043552,4
SAMPLE 373,5.3901477,9.2425995,11
SAMPLE 374,5.2811327,9.111939,11
SAMPLE 375,4.305576,2.1434774,11
SAMPLE 376,5.388755,9.179412,11
SAMPLE 377,2.4428468,-0.107859455,11
SAMPLE 378,4.2417603,2.0566504,11
SAMPLE 379,5.004372,8.835423,4
SAMPLE 380,6.7538753,18.15802,1
SAMPLE 381,6.751616,18.163776,1
SAMPLE 382,-0.06372427,8.934981,4
SAMPLE 383,-0.064410254,8.922866,4
SAMPLE 384,-0.072529875,8.914968,4
SAMPLE 385,-0.03741234,8.900126,4
SAMPLE 386,-0.060412057,8.9308605,4
SAMPLE 387,-0.059424583,8.926417,4
SAMPLE 388,7.0603848,18.338707,1
SAMPLE 389,-4.702757,-7.8947453,13
SAMPLE 390,-4.6773977,-5.8715076,13
SAMPLE 391,-9.916051,-2.9937577,13
SAMPLE 392,-5.1356606,-7.382155,13
SAMPLE 393,-4.7375364,-7.8760276,13
SAMPLE 394,-5.1734486,-6.9511924,13
SAMPLE 395,8.58664,19.090548,1
SAMPLE 396,-4.858246,-6.1560884,13
SAMPLE 397,-4.568627,-7.4016705,13
SAMPLE 398,7.7268715,18.7903,1
SAMPLE 399,-4.6657314,-7.7691274,13
SAMPLE 400,-5.0442066,-7.2833395,13
SAMPLE 401,-4.865721,-7.903784,13
SAMPLE 402,6.9615297,18.283754,1
SAMPLE 403,-9.831944,-2.9064534,13
SAMPLE 404,7.8631186,18.901901,1
SAMPLE 405,6.984825,18.31548,1
SAMPLE 406,8.499287,19.15481,13
SAMPLE 407,-4.9885755,-8.233428,13
SAMPLE 408,7.576606,18.515654,1
SAMPLE 409,-5.02246,-7.0599113,13
SAMPLE 410,-4.7225494,-6.029983,13
SAMPLE 411,-4.9916143,-6.384114,13
SAMPLE 412,-4.7976255,-7.957235,13
SAMPLE 413,-4.6232133,-5.692737,13
SAMPLE 414,-4.5734825,-5.9844766,13
SAMPLE 415,-4.913064,-8.282051,13
SAMPLE 416,-5.4035444,-7.9448004,13
SAMPLE 417,-4.5576034,-5.7122335,13
SAMPLE 418,7.502112,18.537886,1
SAMPLE 419,-4.8851514,-7.366651,13
SAMPLE 420,-5.113421,-7.4711537,13
SAMPLE 421,-4.7283154,-6.6936836,13
SAMPLE 422,-4.7636604,-5.9285965,13
SAMPLE 423,-4.617045,-7.117211,13
SAMPLE 424,-4.6894665,-7.801596,13
SAMPLE 425,7.482295,18.518412,1
SAMPLE 426,-5.4208317,-7.7096543,13
SAMPLE 427,-4.6048713,-6.853475,13
SAMPLE 428,-4.6694117,-7.850106,13
SAMPLE 429,-4.518077,-5.9443626,13
SAMPLE 430,-9.785657,-2.8594089,13
SAMPLE 431,-4.8678474,-6.762263,13
SAMPLE 432,-4.580736,-7.562224,13
SAMPLE 433,-4.8143897,-7.9192057,13
SAMPLE 434,-4.90173,-5.7783575,13
SAMPLE 435,7.450533,18.21048,1
SAMPLE 436,-4.618938,-7.6385536,13
SAMPLE 437,-4.89602,-8.264635,13
SAMPLE 438,-4.8183484,-7.8952703,13
SAMPLE 439,-5.439859,-7.1079025,13
SAMPLE 440,7.63622,18.677164,1
SAMPLE 441,8.860327,19.735128,13
SAMPLE 442,-4.971324,-6.200037,13
SAMPLE 443,8.066544,19.062141,13
SAMPLE 444,-5.04369,-8.043258,13
SAMPLE 445,-4.9218564,-6.156,13
SAMPLE 446,-5.1620936,-6.6761155,13
SAMPLE 447,-9.927834,-3.0095353,13
SAMPLE 448,-4.979631,-8.283945,13
SAMPLE 449,-4.8774223,-5.9249206,13
SAMPLE 450,-5.4132667,-7.0406675,13
SAMPLE 451,-4.6197205,-5.933181,13
SAMPLE 452,-4.7110586,-6.814896,13
SAMPLE 453,8.981717,19.375147,13
SAMPLE 454,8.990166,19.538866,13
SAMPLE 455,-4.568287,-7.6715693,13
SAMPLE 456,-4.704885,-6.924319,13
SAMPLE 457,-5.0678344,-8.155984,13
SAMPLE 458,-4.650796,-7.826422,13
SAMPLE 459,-9.882834,-2.9617023,13
SAMPLE 460,-4.9055476,-8.35613,13
SAMPLE 461,6.966509,18.292747,1
SAMPLE 462,-4.716826,-6.035776,13
SAMPLE 463,-4.7506766,-5.9708133,13
SAMPLE 464,-5.0907044,-6.6016827,13
SAMPLE 465,7.491281,18.412561,1
SAMPLE 466,-9.831587,-2.906634,13
SAMPLE 467,-5.193176,-7.352933,13
SAMPLE 468,8.009104,19.037008,13
SAMPLE 469,-9.865848,-2.9413428,13
SAMPLE 470,5.005704,2.1483607,11
SAMPLE 471,-5.586344,18.225471,9
SAMPLE 472,-5.336043,-6.9466505,13
SAMPLE 473,7.9546795,18.977514,13
SAMPLE 474,-4.899969,-7.999034,13
SAMPLE 475,8.005948,19.021889,13
SAMPLE 476,-5.406825,-7.283705,13
SAMPLE 477,-4.741051,-6.076819,13
SAMPLE 478,8.778183,19.606018,13
SAMPLE 479,-4.879984,-7.374335,13
SAMPLE 480,-5.2879534,-6.681516,13
SAMPLE 481,-4.719999,-5.9404173,13
SAMPLE 482,-9.782084,-2.8539982,13
SAMPLE 483,-9.891625,-2.970296,13
SAMPLE 484,7.545171,18.490252,1
SAMPLE 485,-4.8638854,-6.2810946,13
SAMPLE 486,8.583254,19.122791,13
SAMPLE 487,-4.6637406,-7.762257,13
SAMPLE 488,7.7435093,18.65724,1
SAMPLE 489,7.6185937,18.705797,1
SAMPLE 490,-4.6810336,-7.4991107,13
SAMPLE 491,-4.5296636,-5.942168,13
SAMPLE 492,9.05711,19.184946,13
SAMPLE 493,-4.781642,-7.406022,13
SAMPLE 494,-4.6736045,-7.519304,13
SAMPLE 495,-5.3982234,-7.0317097,13
SAMPLE 496,-9.940429,-3.0231786,13
SAMPLE 497,-4.634603,-7.7206078,13
SAMPLE 498,-9.796714,-2.8690212,13
SAMPLE 499,-4.563648,-5.7353053,13
SAMPLE 500,-5.3528624,-7.99663,13
SAMPLE 501,7.0791073,18.358513,1
SAMPLE 502,-4.7184973,-7.7921042,13
SAMPLE 503,8.200704,19.163498,13
SAMPLE 504,-9.942418,-3.025154,13
SAMPLE 505,9.008064,19.342646,13
SAMPLE 506,-4.697022,-7.731019,13
SAMPLE 507,-4.8202405,-8.283331,13
SAMPLE 508,-4.663177,-7.7918377,13
SAMPLE 509,8.981941,19.142218,13
SAMPLE 510,-4.7067757,-6.064217,13
SAMPLE 511,-5.209163,-8.100191,13
SAMPLE 512,-9.933212,-3.057596,13
SAMPLE 513,-5.031738,-8.213038,13
SAMPLE 514,-4.6868615,-6.677477,13
SAMPLE 515,-4.7393446,-6.380543,13
SAMPLE 516,-4.6334796,-7.540855,13
SAMPLE 517,-5.0786104,-6.145851,13
SAMPLE 518,-5.2701726,-6.928554,13
SAMPLE 519,-4.7292204,-8.028096,13
SAMPLE 520,-5.129386,-6.2098346,13
SAMPLE 521,-9.911014,-2.9898648,13
SAMPLE 522,7.9726186,18.980986,13
SAMPLE 523,-4.6250567,-7.5248737,13
SAMPLE 524,-4.989943,-7.803053,13
SAMPLE 525,-4.534315,-5.9534106,13
SAMPLE 526,-4.963585,-7.603009,13
SAMPLE 527,-5.3285418,-7.0707974,13
SAMPLE 528,7.65038,18.71528,1
SAMPLE 529,-4.8833084,-5.913911,13
SAMPLE 530,7.0076547,18.32803,1
SAMPLE 531,-5.4483504,-7.068136,13
SAMPLE 532,-5.052554,-6.0715275,13
SAMPLE 533,-5.3902507,-6.9976387,13
SAMPLE 534,-5.3879604,-6.9793344,13
SAMPLE 535,-4.6156497,-8.013908,13
SAMPLE 536,7.6987233,18.7699,1
SAMPLE 537,-5.393101,-7.042444,13
SAMPLE 538,-5.1354294,-6.2254515,13
SAMPLE 539,9.041366,19.53771,13
SAMPLE 540,-4.837484,-6.1264553,13
SAMPLE 541,8.4574,19.484335,13
SAMPLE 542,-4.910712,-6.1019893,13
SAMPLE 543,-5.022796,-8.220383,13
SAMPLE 544,-4.9632792,-8.287589,13
SAMPLE 545,-4.5524683,-5.9378552,13
SAMPLE 546,-4.6327353,-6.105512,13
SAMPLE 547,-5.01256,-7.3320394,13
SAMPLE 548,-5.167783,-6.2901893,13
SAMPLE 549,-5.0679984,-6.9010863,13
SAMPLE 550,-5.058619,-8.157729,13
SAMPLE 551,-4.768541,-7.7626452,13
SAMPLE 552,-5.387036,-7.521626,13
SAMPLE 553,8.768311,19.468798,13
SAMPLE 554,8.79871,19.160406,13
SAMPLE 555,-5.2378063,-6.460529,13
SAMPLE 556,9.087765,19.264156,13
SAMPLE 557,9.125449,19.249327,13
SAMPLE 558,-4.547089,-5.6580176,13
SAMPLE 559,-4.816283,-8.320555,13
SAMPLE 560,-5.0745044,-8.203756,13
SAMPLE 561,8.858758,19.657656,13
SAMPLE 562,8.502057,19.219715,1
SAMPLE 563,8.856389,19.76737,13
SAMPLE 564,-5.420398,-7.910563,13
SAMPLE 565,8.748536,19.185898,13
SAMPLE 566,8.868513,19.751017,13
SAMPLE 567,8.807542,19.712118,13
SAMPLE 568,0.17756519,5.110825,4
SAMPLE 569,0.57090986,5.29168,4
SAMPLE 570,0.3306268,5.1435213,4
SAMPLE 571,-5.437459,18.076477,9
SAMPLE 572,12.109992,-0.37593427,7
