sample,dim1,dim2,cluster
SAMPLE 1232,10.987183,5.5144234,6
SAMPLE 1233,11.010745,5.538471,6
SAMPLE 1234,10.74965,5.421776,6
SAMPLE 1235,10.924342,5.0405436,6
SAMPLE 1236,11.061594,5.068835,6
SAMPLE 1237,10.661287,5.459266,6
SAMPLE 1238,11.012849,5.5169315,6
SAMPLE 1239,9.946311,5.0270967,6
SAMPLE 1240,4.67856,1.7717339,11
SAMPLE 1241,8.920695,19.688112,13
SAMPLE 1242,-9.92098,-2.9991035,13
SAMPLE 1243,7.343642,18.495417,1
SAMPLE 1244,13.00985,-11.219817,2
SAMPLE 1245,12.700386,-10.976494,2
SAMPLE 1246,13.011753,-11.248643,2
SAMPLE 1247,13.135077,-10.102577,2
SAMPLE 1248,1.5508639,7.8901405,4
SAMPLE 1249,2.8962004,8.299673,4
SAMPLE 1250,2.9909294,8.310649,4
SAMPLE 1251,8.061149,1.1335093,14
SAMPLE 1252,24.704777,7.6355457,12
SAMPLE 1253,24.572819,8.734347,12
SAMPLE 1254,24.88573,7.54655,12
SAMPLE 1255,24.571814,8.849669,12
SAMPLE 1256,2.5042243,8.254283,4
SAMPLE 1257,-4.805949,4.6421094,4
SAMPLE 1258,1.1493095,7.1150565,4
SAMPLE 1259,-5.4205155,18.059582,9
SAMPLE 1260,11.770319,-6.1009393,5
SAMPLE 1261,12.2485,-5.047824,5
SAMPLE 1262,-5.4633474,18.10244,9
SAMPLE 1263,2.3953574,-0.79931045,11
SAMPLE 1264,23.641266,8.201154,12
SAMPLE 1265,9.566843,5.1433816,6
SAMPLE 1266,12.561082,-10.073316,2
SAMPLE 1267,11.172521,-7.032776,5
SAMPLE 1268,7.400528,17.78934,1
SAMPLE 1269,4.7847095,7.8314624,4
SAMPLE 1270,13.2054825,-10.409212,2
SAMPLE 1271,12.652969,-10.068585,2
SAMPLE 1272,13.083738,-10.156036,2
SAMPLE 1273,12.933049,-10.167734,2
SAMPLE 1274,12.7716,-11.097407,2
SAMPLE 1275,12.547199,-10.316175,2
SAMPLE 1276,-11.427305,5.0494485,10
SAMPLE 1277,-11.48361,5.1075296,10
SAMPLE 1278,11.817438,-0.17982413,7
SAMPLE 1279,12.112813,-0.36005867,7
SAMPLE 1280,4.815322,-4.251169,6
SAMPLE 1281,24.763744,7.627924,12
SAMPLE 1282,3.6050525,10.102205,4
SAMPLE 1283,3.7229164,10.23305,4
SAMPLE 1284,11.959696,-0.12852219,7
SAMPLE 1285,11.308958,-6.838488,5
SAMPLE 1286,12.02148,-5.496825,5
SAMPLE 1287,24.757809,7.6240463,12
SAMPLE 1288,-4.790968,4.6471686,4
SAMPLE 1289,11.250115,-6.9267855,5
SAMPLE 1290,11.135412,-7.0724096,5
SAMPLE 1291,5.1655726,8.033415,4
SAMPLE 1292,4.116495,5.5993953,4
SAMPLE 1293,1.9739556,7.9537935,4
SAMPLE 1294,3.8576102,10.392016,4
SAMPLE 1295,12.512037,-10.098515,2
SAMPLE 1296,12.637242,-9.98805,2
SAMPLE 1297,13.092608,-11.17443,2
SAMPLE 1298,13.161164,-11.041048,2
SAMPLE 1299,13.035672,-10.216054,2
SAMPLE 1300,12.558284,-10.029068,2
SAMPLE 1301,13.129072,-11.073932,2
SAMPLE 1302,12.558489,-10.226164,2
SAMPLE 1303,12.568203,-10.142801,2
SAMPLE 1304,13.187439,-10.262943,2
SAMPLE 1305,13.163987,-10.53213,2
SAMPLE 1306,13.143505,-10.482604,2
SAMPLE 1307,13.135953,-11.084625,2
SAMPLE 1308,13.039252,-10.38249,2
SAMPLE 1309,12.588052,-10.109101,2
SAMPLE 1310,13.093553,-11.1572895,2
SAMPLE 1311,13.036447,-10.216252,2
SAMPLE 1312,13.135605,-11.062504,2
SAMPLE 1313,13.083527,-11.033577,2
SAMPLE 1314,13.162208,-10.4822855,2
SAMPLE 1315,12.456081,-10.147432,2
SAMPLE 1316,8.892959,6.8127494,6
SAMPLE 1317,8.87951,6.7654376,6
SAMPLE 1318,8.893279,6.841873,6
SAMPLE 1319,8.835919,6.1142235,6
SAMPLE 1320,8.872022,6.157517,6
SAMPLE 1321,8.863764,6.7448473,6
SAMPLE 1322,8.876742,6.039969,6
SAMPLE 1323,8.956554,7.011416,6
SAMPLE 1324,8.884493,6.8720512,6
SAMPLE 1325,2.6235733,-0.1957048,11
SAMPLE 1326,5.40491,9.251188,11
SAMPLE 1327,3.8898346,10.313474,4
SAMPLE 1328,2.6806955,-0.52875394,11
SAMPLE 1329,3.635692,10.183566,4
SAMPLE 1330,3.8723967,10.394339,4
SAMPLE 1331,3.6864583,10.230352,4
SAMPLE 1332,3.5700278,10.00488,4
SAMPLE 1333,3.8684685,10.372735,4
SAMPLE 1334,3.798877,10.33559,4
SAMPLE 1335,3.776495,10.328373,4
SAMPLE 1336,7.400348,17.773272,1
SAMPLE 1337,0.0042831753,5.6179814,4
SAMPLE 1338,6.178875,-5.006123,5
SAMPLE 1339,6.1033945,-5.0118155,2
SAMPLE 1340,5.015005,-4.420435,6
SAMPLE 1341,4.7025795,-3.9444122,6
SAMPLE 1342,8.411489,5.1738224,6
SAMPLE 1343,2.1806026,8.159073,4
SAMPLE 1344,3.0249133,8.3811,4
SAMPLE 1345,8.652352,5.128447,6
SAMPLE 1346,9.636141,5.138647,6
SAMPLE 1347,14.339944,13.472992,3
SAMPLE 1348,12.227841,-5.067115,5
SAMPLE 1349,0.5007031,7.513989,4
SAMPLE 1350,6.0274925,-4.872586,6
SAMPLE 1351,6.759894,-13.139253,2
SAMPLE 1352,8.52069,1.4004841,14
SAMPLE 1353,24.073786,8.112347,12
SAMPLE 1354,2.7351642,-0.47292176,11
SAMPLE 1355,15.145609,12.040001,3
SAMPLE 1356,24.889921,7.5880466,12
SAMPLE 1357,24.709114,8.697448,12
SAMPLE 1358,24.537144,8.911176,12
SAMPLE 1359,23.217594,8.054532,8
SAMPLE 1360,24.797476,8.569901,12
SAMPLE 1361,24.396013,8.888424,12
SAMPLE 1362,24.92305,8.240589,12
SAMPLE 1363,24.509514,8.976295,12
SAMPLE 1364,24.310036,9.221166,12
SAMPLE 1365,23.442984,8.18164,12
SAMPLE 1366,23.767206,8.199169,12
SAMPLE 1367,24.639782,8.816731,12
SAMPLE 1368,23.52944,7.9823046,12
SAMPLE 1369,23.524471,8.004063,12
SAMPLE 1370,23.864952,8.567786,12
SAMPLE 1371,23.753927,8.126182,12
SAMPLE 1372,23.625486,8.233729,12
SAMPLE 1373,24.537584,8.235944,12
SAMPLE 1374,23.05587,8.053341,8
SAMPLE 1375,22.946218,8.003292,8
SAMPLE 1376,24.552567,8.923288,12
SAMPLE 1377,24.59652,8.756896,12
SAMPLE 1378,24.463861,8.9729,12
SAMPLE 1379,24.258026,8.895881,12
SAMPLE 1380,23.637735,8.097448,12
SAMPLE 1381,23.339025,8.147302,12
SAMPLE 1382,24.257116,9.136884,12
SAMPLE 1383,23.426706,8.086184,12
SAMPLE 1384,24.255714,8.9581175,12
SAMPLE 1385,24.987295,7.688927,12
SAMPLE 1386,5.343462,5.723092,4
SAMPLE 1387,7.1991706,5.245234,2
SAMPLE 1388,7.8562274,5.102208,5
SAMPLE 1389,7.6075807,5.160073,2
SAMPLE 1390,4.9292145,5.4620757,4
SAMPLE 1391,6.065603,5.527161,4
SAMPLE 1392,5.4126725,5.744576,4
SAMPLE 1393,6.2768393,5.472131,4
SAMPLE 1394,6.9130597,5.324757,6
SAMPLE 1395,6.220446,5.478423,4
SAMPLE 1396,4.4343066,5.8424006,4
SAMPLE 1397,7.049205,5.3002725,2
SAMPLE 1398,7.6669235,5.195459,5
SAMPLE 1399,5.229376,4.7415824,4
SAMPLE 1400,4.435773,5.470369,4
SAMPLE 1401,7.234573,5.235386,2
SAMPLE 1402,2.1327307,-0.41231012,11
SAMPLE 1403,12.217275,-5.0715985,5
SAMPLE 1404,6.81854,-13.080709,2
SAMPLE 1405,3.6558442,10.210162,4
SAMPLE 1406,3.8184478,10.334139,4
SAMPLE 1407,3.8415344,10.385022,4
SAMPLE 1408,3.6313035,10.167208,4
SAMPLE 1409,19.40199,-10.989487,5
SAMPLE 1410,4.034087,5.6295133,4
SAMPLE 1411,1.8183538,5.712128,4
SAMPLE 1412,-11.526054,5.150699,10
SAMPLE 1413,9.024742,19.264713,13
SAMPLE 1414,8.895016,19.390013,13
SAMPLE 1415,8.092201,19.076471,13
SAMPLE 1416,7.392063,18.242016,1
SAMPLE 1417,9.112237,19.253078,13
SAMPLE 1418,7.9803333,18.980007,13
SAMPLE 1419,-4.782635,4.6033483,4
SAMPLE 1420,-4.801882,4.633003,4
SAMPLE 1421,5.23191,8.114837,4
SAMPLE 1422,5.2539287,8.167939,4
SAMPLE 1423,2.1782951,8.136842,4
SAMPLE 1424,4.9340086,7.69648,4
SAMPLE 1425,19.64455,-11.2321825,5
SAMPLE 1426,19.482254,-11.06979,5
SAMPLE 1427,19.650131,-11.238031,5
SAMPLE 1428,19.409739,-10.997208,5
SAMPLE 1429,19.43878,-11.026261,5
SAMPLE 1430,4.6969643,1.5642551,11
SAMPLE 1431,-4.7959676,4.643616,4
SAMPLE 1432,4.4923224,5.5440893,4
SAMPLE 1433,24.963493,7.753295,12
SAMPLE 1434,13.72612,13.448489,3
SAMPLE 1435,5.267386,8.196752,4
SAMPLE 1436,5.099285,8.036702,4
SAMPLE 1437,4.7183113,8.018535,4
SAMPLE 1438,5.2745347,8.181178,4
SAMPLE 1439,4.7350035,8.011298,4
SAMPLE 1440,7.3984013,17.781542,1
SAMPLE 1441,5.136996,8.292368,4
SAMPLE 1442,10.850379,-5.7342415,5
SAMPLE 1443,10.843649,-5.7259364,5
SAMPLE 1444,10.85054,-5.73805,6
SAMPLE 1445,5.150224,8.041282,4
SAMPLE 1446,0.21410182,7.183954,4
SAMPLE 1447,-4.735118,-5.8061175,13
SAMPLE 1448,-4.8575125,-6.1364713,13
SAMPLE 1449,3.4505954,5.822593,4
SAMPLE 1450,3.0111277,6.459012,4
SAMPLE 1451,3.545992,5.479497,4
SAMPLE 1452,3.1173491,6.410983,4
SAMPLE 1453,4.9664264,5.0918636,4
SAMPLE 1454,0.22082774,7.7681355,4
SAMPLE 1455,2.5166624,-0.15582745,11
SAMPLE 1456,2.2616715,-0.2524461,11
SAMPLE 1457,2.3970723,-0.47463498,11
SAMPLE 1458,2.5897865,-0.2638243,11
SAMPLE 1459,2.8471758,-0.109439984,11
SAMPLE 1460,2.8573198,-0.40772605,11
SAMPLE 1461,2.357396,-0.66052866,11
SAMPLE 1462,3.6634374,10.228656,4
SAMPLE 1463,2.7605171,-0.2478487,11
SAMPLE 1464,1.5476336,7.887101,4
SAMPLE 1465,0.009860996,7.6851606,4
SAMPLE 1466,1.4223825,6.7817793,4
SAMPLE 1467,1.7314423,7.792251,4
SAMPLE 1468,0.069835655,7.768339,4
SAMPLE 1469,1.2319121,7.5758543,4
SAMPLE 1470,1.3930678,7.454009,4
SAMPLE 1471,1.1590195,7.6282015,4
SAMPLE 1472,1.6592481,7.2476044,4
SAMPLE 1473,0.059339426,7.7307444,4
SAMPLE 1474,1.062424,7.636762,4
SAMPLE 1475,0.07819211,7.821759,4
SAMPLE 1476,1.5940281,7.846507,4
SAMPLE 1477,0.054271888,7.588611,4
SAMPLE 1478,1.4238671,7.513579,4
SAMPLE 1479,1.4012997,7.4076085,4
SAMPLE 1480,0.4533327,7.2305913,4
SAMPLE 1481,1.5014683,7.3118687,4
SAMPLE 1482,1.0266811,6.838849,4
SAMPLE 1483,1.4883837,7.408276,4
SAMPLE 1484,1.4432259,7.3911405,4
SAMPLE 1485,1.4587884,7.4097376,4
SAMPLE 1486,1.3725256,7.5255837,4
SAMPLE 1487,1.4792335,7.5706882,4
SAMPLE 1488,1.2112553,7.598894,4
SAMPLE 1489,24.343784,8.039436,12
SAMPLE 1490,23.12257,8.058646,8
SAMPLE 1491,13.843486,11.97126,3
SAMPLE 1492,11.867768,-5.7884784,5
SAMPLE 1493,11.773817,-5.6264405,5
SAMPLE 1494,11.997359,-5.6982255,5
SAMPLE 1495,11.825281,-5.6288276,5
SAMPLE 1496,11.873235,-5.8406806,5
SAMPLE 1497,11.900231,-5.8266115,5
SAMPLE 1498,11.885296,-5.787303,5
SAMPLE 1499,12.134197,-5.4200354,5
SAMPLE 1500,11.838013,-5.7720327,5
SAMPLE 1501,12.099765,-5.4957743,5
SAMPLE 1502,12.134803,-5.411455,5
SAMPLE 1503,12.234533,-5.044019,5
SAMPLE 1504,12.005303,-5.674728,5
SAMPLE 1505,12.085611,-5.519043,5
SAMPLE 1506,12.0994425,-5.4933095,5
SAMPLE 1507,11.824358,-5.8852415,5
SAMPLE 1508,12.042717,-5.5807405,5
SAMPLE 1509,12.002156,-5.67813,5
SAMPLE 1510,11.854124,-5.8635755,5
SAMPLE 1511,11.9534645,-5.7568855,5
SAMPLE 1512,1.4590255,-8.585503,5
SAMPLE 1513,11.974703,-0.07349026,7
SAMPLE 1514,4.87776,5.18284,4
SAMPLE 1515,15.284474,12.362399,3
SAMPLE 1516,12.22679,-5.044525,5
SAMPLE 1517,12.078193,-5.4832025,5
SAMPLE 1518,12.229911,-5.0771093,5
SAMPLE 1519,12.185939,-5.1831427,5
SAMPLE 1520,12.236308,-5.054549,5
SAMPLE 1521,11.873805,-5.814075,5
SAMPLE 1522,11.268005,-6.907329,5
SAMPLE 1523,-9.937179,-3.0171223,13
SAMPLE 1524,0.82049716,5.958783,4
SAMPLE 1525,9.01477,19.49656,13
SAMPLE 1526,12.450088,-10.095881,2
SAMPLE 1527,5.0535016,7.7238545,4
SAMPLE 1528,5.251502,8.159193,4
SAMPLE 1529,4.9006267,7.844895,4
SAMPLE 1530,5.1053333,7.952305,4
SAMPLE 1531,5.1680756,8.058138,4
SAMPLE 1532,5.1338115,8.007731,4
SAMPLE 1533,5.1622286,8.047641,4
SAMPLE 1534,4.9936485,2.321297,11
SAMPLE 1535,5.161967,8.596784,4
SAMPLE 1536,2.2346942,-0.34877154,11
SAMPLE 1537,2.1642787,-0.5311716,11
SAMPLE 1538,3.6770055,10.242024,4
SAMPLE 1539,3.8226254,10.379163,4
SAMPLE 1540,4.9743357,8.845529,4
SAMPLE 1541,2.2694287,-0.19859272,11
SAMPLE 1542,3.8205335,10.384329,4
SAMPLE 1543,5.3715506,9.148161,11
SAMPLE 1544,2.6814651,-0.27017078,11
SAMPLE 1545,2.8661144,-0.11226745,11
SAMPLE 1546,2.2402568,-0.24922928,11
SAMPLE 1547,4.112396,1.8940991,11
SAMPLE 1548,2.3640122,-0.42461923,11
SAMPLE 1549,5.2216563,8.662236,4
SAMPLE 1550,2.8487327,-0.2537141,11
SAMPLE 1551,4.5557103,1.787081,11
SAMPLE 1552,1.4930552,7.408235,4
SAMPLE 1553,12.231838,-5.0709686,5
SAMPLE 1554,11.247124,-6.9356894,5
SAMPLE 1555,11.256573,-6.931003,5
SAMPLE 1556,11.156599,-7.047736,5
SAMPLE 1557,11.19139,-7.0099697,5
SAMPLE 1558,11.157401,-7.0436068,5
SAMPLE 1559,11.2282915,-6.960633,5
SAMPLE 1560,11.246878,-6.944864,5
SAMPLE 1561,11.251007,-6.934426,5
SAMPLE 1562,11.258481,-6.9256134,5
SAMPLE 1563,11.164756,-7.0401382,5
SAMPLE 1564,11.384922,-6.71174,5
SAMPLE 1565,11.198461,-7.001255,5
SAMPLE 1566,11.216347,-6.9662213,5
SAMPLE 1567,11.624929,-6.3011518,5
SAMPLE 1568,11.779748,-5.5877047,5
SAMPLE 1569,12.215272,-5.1119742,5
SAMPLE 1570,12.044732,-5.5935717,5
SAMPLE 1571,11.771518,-5.6273,5
SAMPLE 1572,12.067724,-5.5419507,5
SAMPLE 1573,12.098244,-5.537081,5
SAMPLE 1574,11.548182,-6.437821,5
SAMPLE 1575,11.205187,-7.0247507,5
SAMPLE 1576,11.865658,-5.8652935,5
SAMPLE 1577,8.479189,5.181761,6
SAMPLE 1578,4.3784633,1.7054849,11
SAMPLE 1579,24.985344,8.473592,12
SAMPLE 1580,7.4461756,5.1741486,2
SAMPLE 1581,7.6779857,5.163808,2
SAMPLE 1582,24.891811,7.5517178,12
SAMPLE 1583,6.8411026,5.3440247,2
SAMPLE 1584,4.8998003,6.4299817,4
SAMPLE 1585,1.0121953,7.1415906,4
SAMPLE 1586,0.35790378,6.0091763,4
SAMPLE 1587,4.6548424,-3.9701235,6
SAMPLE 1588,4.841946,6.4593234,4
SAMPLE 1589,4.844046,6.0018973,4
SAMPLE 1590,4.843969,6.4802017,4
SAMPLE 1591,4.6796103,6.034562,4
SAMPLE 1592,0.1435098,8.021741,4
SAMPLE 1593,0.1838664,8.03834,4
SAMPLE 1594,0.16330646,7.930356,4
SAMPLE 1595,5.86484,2.140863,11
SAMPLE 1596,4.988187,5.231259,4
SAMPLE 1597,4.828301,7.8374286,4
SAMPLE 1598,1.5033191,-8.531472,6
SAMPLE 1599,10.875421,-5.7317657,5
SAMPLE 1600,10.878683,-5.7295346,5
SAMPLE 1601,10.824812,-5.705807,5
SAMPLE 1602,12.112664,-4.449637,5
SAMPLE 1603,1.3375161,-8.810649,5
SAMPLE 1604,8.034172,1.3993897,14
SAMPLE 1605,1.0607836,-9.276254,5
SAMPLE 1606,1.0029663,-9.44248,5
SAMPLE 1607,0.9946223,-9.437395,5
SAMPLE 1608,2.284339,-0.29001826,11
SAMPLE 1609,5.502269,9.287638,11
SAMPLE 1610,4.869986,7.6727223,4
SAMPLE 1611,2.4438484,-0.7844062,11
SAMPLE 1612,11.058443,5.202152,6
SAMPLE 1613,10.31264,4.752054,6
SAMPLE 1614,11.050806,5.0878587,6
SAMPLE 1615,11.0071745,5.027936,6
SAMPLE 1616,11.01145,5.0216947,6
SAMPLE 1617,11.032721,5.112393,6
SAMPLE 1618,10.922968,4.9267807,6
SAMPLE 1619,3.31822,6.331153,4
SAMPLE 1620,4.1554775,5.7674165,4
SAMPLE 1621,4.0281553,6.351072,4
SAMPLE 1622,3.9979894,6.3208075,4
SAMPLE 1623,1.4056606,7.175784,4
SAMPLE 1624,1.4337765,7.4295115,4
SAMPLE 1625,12.085878,-5.4403415,5
SAMPLE 1626,24.48064,7.6859493,12
SAMPLE 1627,11.854027,-0.17984706,7
SAMPLE 1628,8.449118,1.0227306,14
SAMPLE 1629,0.19564547,7.149306,4
SAMPLE 1630,13.006137,-11.254159,2
SAMPLE 1631,4.861505,-4.2945824,6
SAMPLE 1632,3.6212234,5.360139,4
SAMPLE 1633,4.7000017,2.2973285,11
SAMPLE 1634,5.376117,1.8361422,11
SAMPLE 1635,11.958665,-0.017765682,7
SAMPLE 1636,12.052958,-0.2610556,7
SAMPLE 1637,5.129195,1.5673125,11
SAMPLE 1638,12.029124,-0.15317002,7
SAMPLE 1639,2.5927477,6.58279,11
SAMPLE 1640,5.619531,1.980927,11
SAMPLE 1641,7.6490173,1.4491333,14
SAMPLE 1642,7.948656,1.0941945,14
SAMPLE 1643,8.291173,1.2157851,14
SAMPLE 1644,8.033998,1.3138528,14
SAMPLE 1645,3.2682707,5.5974774,4
SAMPLE 1646,11.78584,-0.29668844,7
SAMPLE 1647,11.913847,-0.2761412,7
SAMPLE 1648,8.393136,1.3845893,14
SAMPLE 1649,8.158567,1.4165454,14
SAMPLE 1650,2.0891955,6.624016,4
SAMPLE 1651,2.5532742,6.8227634,4
SAMPLE 1652,1.6535203,6.6449423,4
SAMPLE 1653,8.099305,1.3650619,14
SAMPLE 1654,8.605324,1.0903981,14
SAMPLE 1655,8.148956,1.3422908,14
SAMPLE 1656,8.234564,1.4097136,14
SAMPLE 1657,19.555004,-11.143536,5
SAMPLE 1658,19.543758,-11.131325,5
SAMPLE 1659,4.8961625,2.5978463,11
SAMPLE 1660,4.6742644,-3.868206,6
SAMPLE 1661,0.09161718,7.405267,4
SAMPLE 1662,0.15261966,7.2826304,4
SAMPLE 1663,0.93954825,7.4744854,4
SAMPLE 1664,24.968836,8.205671,12
SAMPLE 1665,11.978532,-0.07740425,7
SAMPLE 1666,13.212029,-10.37545,2
SAMPLE 1667,7.124944,18.346579,1
SAMPLE 1668,0.9980468,7.597901,4
SAMPLE 1669,5.1904373,-5.1929855,6
SAMPLE 1670,0.1243635,7.9089713,4
SAMPLE 1671,2.1371338,-0.48153514,11
SAMPLE 1672,0.19720766,7.478415,4
SAMPLE 1673,-5.313412,-7.0296054,13
SAMPLE 1674,14.07696,11.971236,3
SAMPLE 1675,14.360527,13.665283,3
SAMPLE 1676,7.562469,1.4930428,14
SAMPLE 1677,0.96737415,-9.31934,5
SAMPLE 1678,0.010362048,7.59342,4
SAMPLE 1679,1.5083867,-8.524537,6
SAMPLE 1680,4.741919,7.9649158,4
SAMPLE 1681,7.8570075,1.5287036,14
SAMPLE 1682,24.119127,8.00145,12
SAMPLE 1683,2.4672945,6.8528194,4
SAMPLE 1684,9.045485,5.454546,6
SAMPLE 1685,8.889719,5.588281,6
SAMPLE 1686,14.753084,12.967552,3
SAMPLE 1687,5.130941,8.78275,4
SAMPLE 1688,6.977121,5.2920456,2
SAMPLE 1689,6.85507,5.3514743,2
SAMPLE 1690,4.705525,5.49572,4
SAMPLE 1691,6.9347076,5.3223925,2
SAMPLE 1692,4.940974,5.1968417,4
SAMPLE 1693,13.691018,13.318422,3
SAMPLE 1694,1.1207855,-9.187844,5
SAMPLE 1695,4.9626274,-4.3695717,6
SAMPLE 1696,1.1423973,5.893839,4
SAMPLE 1697,-0.13201268,5.4994893,4
SAMPLE 1698,0.26049998,-10.091716,5
SAMPLE 1699,0.5594415,7.451212,4
SAMPLE 1700,1.0690438,-9.24254,5
SAMPLE 1701,7.3983755,17.781597,1
SAMPLE 1702,10.839778,-5.726797,5
SAMPLE 1703,3.0949857,6.4965777,4
SAMPLE 1704,3.525486,5.7024794,4
SAMPLE 1705,3.558545,5.555278,4
SAMPLE 1706,3.1239996,6.4005055,4
SAMPLE 1707,3.5492184,5.637863,4
SAMPLE 1708,1.5223436,-8.511416,5
SAMPLE 1709,24.91708,8.444926,12
SAMPLE 1710,2.4990635,6.589935,4
SAMPLE 1711,3.9973922,5.7419434,4
SAMPLE 1712,7.3945637,17.771994,1
SAMPLE 1713,8.674698,5.169711,6
SAMPLE 1714,-0.04649989,5.6413,4
SAMPLE 1715,-7.3144417,11.176612,4
SAMPLE 1716,14.073032,13.537203,3
SAMPLE 1717,13.845896,11.932244,3
SAMPLE 1718,14.979954,12.564947,3
SAMPLE 1719,-7.31076,11.172917,4
SAMPLE 1720,14.473568,13.141276,3
SAMPLE 1721,13.93081,12.452291,3
SAMPLE 1722,-7.268963,11.131054,4
SAMPLE 1723,-7.2642107,11.126409,4
SAMPLE 1724,14.761387,12.318412,3
SAMPLE 1725,-7.3024836,11.164676,4
SAMPLE 1726,14.346731,13.720827,3
SAMPLE 1727,15.2136545,12.22848,3
SAMPLE 1728,-7.232104,11.094149,4
SAMPLE 1729,14.151304,12.128332,3
SAMPLE 1730,1.1942253,6.9062843,4
SAMPLE 1731,2.4254823,-0.029236183,11
SAMPLE 1732,-11.533755,5.1610627,10
SAMPLE 1733,24.796324,7.5292144,12
SAMPLE 1734,3.9743905,5.662485,4
SAMPLE 1735,-4.5513616,-7.7635393,13
SAMPLE 1736,0.15362312,-10.199049,5
SAMPLE 1737,7.4157557,5.1242785,2
SAMPLE 1738,3.783772,10.334923,4
SAMPLE 1739,14.167363,13.867948,3
SAMPLE 1740,14.620404,12.118048,3
SAMPLE 1741,-7.282086,11.144253,4
SAMPLE 1742,-7.3421264,11.204249,4
SAMPLE 1743,-7.3748016,11.236705,4
SAMPLE 1744,14.475882,13.315039,3
SAMPLE 1745,14.239995,11.792773,3
SAMPLE 1746,-7.2994857,11.161504,4
SAMPLE 1747,14.145406,13.909042,3
SAMPLE 1748,-7.289193,11.151272,4
SAMPLE 1749,14.267944,11.917816,3
SAMPLE 1750,14.7292795,12.949272,3
SAMPLE 1751,13.797734,12.250321,3
SAMPLE 1752,8.842945,6.025927,6
SAMPLE 1753,8.966819,7.0307274,6
SAMPLE 1754,7.6425323,1.4642782,14
SAMPLE 1755,0.12172342,7.9036283,4
SAMPLE 1756,0.10218315,7.8698707,4
SAMPLE 1757,8.961234,5.441955,6
SAMPLE 1758,1.4796262,-8.565649,6
SAMPLE 1759,6.1773653,5.4981174,4
SAMPLE 1760,5.287529,1.8120836,11
SAMPLE 1761,12.074274,-0.33596453,7
SAMPLE 1762,8.046296,1.1095372,14
SAMPLE 1763,3.0966606,6.404793,4
SAMPLE 1764,11.725285,-0.32974592,7
SAMPLE 1765,8.162021,1.2858301,14
SAMPLE 1766,3.55266,5.7093673,4
SAMPLE 1767,4.7461724,-4.1792865,6
SAMPLE 1768,4.8002434,-4.2384267,6
SAMPLE 1769,4.820645,-4.2541037,6
SAMPLE 1770,4.8538404,-4.2909923,6
SAMPLE 1771,6.043045,-4.9113584,6
SAMPLE 1772,4.680544,-4.115753,6
SAMPLE 1773,4.7106047,-4.1506953,6
SAMPLE 1774,5.036233,2.2950795,11
SAMPLE 1775,14.320912,12.231809,3
SAMPLE 1776,5.075587,-5.094941,6
SAMPLE 1777,-7.3021913,11.164242,4
SAMPLE 1778,15.227071,12.417225,3
SAMPLE 1779,14.923327,11.966195,3
SAMPLE 1780,14.642713,13.042787,3
SAMPLE 1781,13.911707,12.840677,3
SAMPLE 1782,14.355583,13.202687,3
SAMPLE 1783,13.794629,12.146913,3
SAMPLE 1784,14.684879,12.292383,3
SAMPLE 1785,-7.270421,11.132545,4
SAMPLE 1786,-7.286184,11.148265,4
SAMPLE 1787,14.613961,13.005,3
SAMPLE 1788,14.301687,12.920953,3
SAMPLE 1789,14.817571,12.977853,3
SAMPLE 1790,-7.347908,11.20993,4
SAMPLE 1791,-7.418593,11.280515,4
SAMPLE 1792,14.075621,13.962408,3
SAMPLE 1793,-7.386758,11.24862,4
SAMPLE 1794,14.831099,12.393978,3
SAMPLE 1795,12.15801,-0.40658256,7
SAMPLE 1796,12.112589,-4.4576335,5
SAMPLE 1797,23.58587,7.918199,12
SAMPLE 1798,9.52368,5.1672745,6
SAMPLE 1799,12.000529,-0.24330929,7
SAMPLE 1800,8.548297,1.3664263,14
SAMPLE 1801,8.434757,1.052211,14
SAMPLE 1802,8.546478,1.4004096,14
SAMPLE 1803,8.568453,1.353584,14
SAMPLE 1804,7.9234424,1.0018171,14
SAMPLE 1805,8.345202,1.4444557,14
SAMPLE 1806,7.931002,1.0641584,14
SAMPLE 1807,7.846313,1.2091852,14
SAMPLE 1808,11.697902,-0.30257407,7
SAMPLE 1809,11.969199,-0.27663234,7
SAMPLE 1810,8.194268,1.352252,14
SAMPLE 1811,8.01209,1.1297714,14
SAMPLE 1812,7.794298,1.3212413,14
SAMPLE 1813,5.1771116,2.2418776,11
SAMPLE 1814,11.703704,-0.28404248,7
SAMPLE 1815,8.001853,1.0279717,14
SAMPLE 1816,2.6171675,6.8536005,2
SAMPLE 1817,4.8859677,2.0964565,11
SAMPLE 1818,12.029584,-0.3201271,7
SAMPLE 1819,7.9502926,0.98393553,14
SAMPLE 1820,7.324475,1.6006492,14
SAMPLE 1821,11.679901,-0.3006374,7
SAMPLE 1822,8.322581,1.3306904,14
SAMPLE 1823,8.180198,1.3876294,14
SAMPLE 1824,8.568951,1.3989819,14
SAMPLE 1825,8.028422,1.3218498,14
SAMPLE 1826,8.20783,1.4625133,14
SAMPLE 1827,24.940523,8.447182,12
SAMPLE 1828,24.939533,8.405015,12
SAMPLE 1829,1.3236428,-8.835141,5
SAMPLE 1830,24.922829,7.860396,12
SAMPLE 1831,24.501713,8.003763,12
SAMPLE 1832,14.801159,11.666301,3
SAMPLE 1833,14.331611,13.961203,3
SAMPLE 1834,14.137309,13.902253,3
