sample,cluster
SAMPLE 648,10
SAMPLE 649,4
SAMPLE 650,4
SAMPLE 651,4
SAMPLE 652,4
SAMPLE 653,4
SAMPLE 654,12
SAMPLE 655,4
SAMPLE 656,4
SAMPLE 657,4
SAMPLE 658,4
SAMPLE 659,4
SAMPLE 660,4
SAMPLE 661,4
SAMPLE 662,10
SAMPLE 663,8
SAMPLE 664,9
SAMPLE 665,10
SAMPLE 666,4
SAMPLE 667,9
SAMPLE 668,9
SAMPLE 669,9
SAMPLE 670,1
SAMPLE 671,13
SAMPLE 672,10
SAMPLE 673,10
SAMPLE 674,10
SAMPLE 675,9
SAMPLE 676,14
SAMPLE 677,4
SAMPLE 678,4
SAMPLE 679,4
SAMPLE 680,4
SAMPLE 681,4
SAMPLE 682,4
SAMPLE 683,6
SAMPLE 684,6
SAMPLE 685,6
SAMPLE 686,6
SAMPLE 687,6
SAMPLE 688,6
SAMPLE 689,6
SAMPLE 690,6
SAMPLE 691,6
SAMPLE 692,6
SAMPLE 693,6
SAMPLE 694,6
SAMPLE 695,6
SAMPLE 696,6
SAMPLE 697,6
SAMPLE 698,6
SAMPLE 699,6
SAMPLE 700,6
SAMPLE 701,6
SAMPLE 702,6
SAMPLE 703,6
SAMPLE 704,6
SAMPLE 705,6
SAMPLE 706,6
SAMPLE 707,6
SAMPLE 708,6
SAMPLE 709,6
SAMPLE 710,6
SAMPLE 711,6
SAMPLE 712,6
SAMPLE 713,6
SAMPLE 714,6
SAMPLE 715,4
SAMPLE 716,8
SAMPLE 717,12
SAMPLE 718,12
SAMPLE 719,12
SAMPLE 720,4
SAMPLE 721,12
SAMPLE 722,4
SAMPLE 723,4
SAMPLE 724,4
SAMPLE 725,4
SAMPLE 726,4
SAMPLE 727,4
SAMPLE 728,4
SAMPLE 729,4
SAMPLE 730,4
SAMPLE 731,13
SAMPLE 732,4
SAMPLE 733,12
SAMPLE 734,12
SAMPLE 735,12
SAMPLE 736,12
SAMPLE 737,12
SAMPLE 738,12
SAMPLE 739,6
SAMPLE 740,6
SAMPLE 741,6
SAMPLE 742,6
SAMPLE 743,6
SAMPLE 744,3
SAMPLE 745,3
SAMPLE 746,11
SAMPLE 747,11
SAMPLE 748,11
SAMPLE 749,13
SAMPLE 750,13
SAMPLE 751,3
SAMPLE 752,11
SAMPLE 753,6
SAMPLE 754,12
SAMPLE 755,12
SAMPLE 756,12
SAMPLE 757,4
SAMPLE 758,4
SAMPLE 759,4
SAMPLE 760,4
SAMPLE 761,4
SAMPLE 762,4
SAMPLE 763,12
SAMPLE 764,12
SAMPLE 765,13
SAMPLE 766,2
SAMPLE 767,9
SAMPLE 768,10
SAMPLE 769,13
SAMPLE 770,13
SAMPLE 771,4
SAMPLE 772,4
SAMPLE 773,4
SAMPLE 774,4
SAMPLE 775,4
SAMPLE 776,4
SAMPLE 777,4
SAMPLE 778,4
SAMPLE 779,4
SAMPLE 780,4
SAMPLE 781,4
SAMPLE 782,4
SAMPLE 783,4
SAMPLE 784,4
SAMPLE 785,4
SAMPLE 786,4
SAMPLE 787,4
SAMPLE 788,4
SAMPLE 789,4
SAMPLE 790,4
SAMPLE 791,2
SAMPLE 792,2
SAMPLE 793,5
SAMPLE 794,2
SAMPLE 795,3
SAMPLE 796,3
SAMPLE 797,3
SAMPLE 798,4
SAMPLE 799,4
SAMPLE 800,4
SAMPLE 801,4
SAMPLE 802,4
SAMPLE 803,4
SAMPLE 804,4
SAMPLE 805,4
SAMPLE 806,4
SAMPLE 807,2
SAMPLE 808,9
SAMPLE 809,9
SAMPLE 810,9
SAMPLE 811,9
SAMPLE 812,9
SAMPLE 813,9
SAMPLE 814,9
SAMPLE 815,3
SAMPLE 816,3
SAMPLE 817,3
SAMPLE 818,3
SAMPLE 819,3
SAMPLE 820,3
SAMPLE 821,3
SAMPLE 822,3
SAMPLE 823,3
SAMPLE 824,3
SAMPLE 825,3
SAMPLE 826,3
SAMPLE 827,3
SAMPLE 828,4
SAMPLE 829,3
SAMPLE 830,3
SAMPLE 831,3
SAMPLE 832,3
SAMPLE 833,6
SAMPLE 834,6
SAMPLE 835,3
SAMPLE 836,3
SAMPLE 837,3
SAMPLE 838,3
SAMPLE 839,1
SAMPLE 840,3
SAMPLE 841,0
SAMPLE 842,9
SAMPLE 843,3
SAMPLE 844,3
SAMPLE 845,1
SAMPLE 846,9
SAMPLE 847,1
SAMPLE 848,6
SAMPLE 849,11
SAMPLE 850,4
SAMPLE 851,6
SAMPLE 852,2
SAMPLE 853,2
SAMPLE 854,2
SAMPLE 855,4
SAMPLE 856,4
SAMPLE 857,5
SAMPLE 858,5
SAMPLE 859,6
SAMPLE 860,6
SAMPLE 861,6
SAMPLE 862,6
SAMPLE 863,6
SAMPLE 864,4
SAMPLE 865,9
SAMPLE 866,2
SAMPLE 867,10
SAMPLE 868,6
SAMPLE 869,4
SAMPLE 870,5
SAMPLE 871,3
SAMPLE 872,12
SAMPLE 873,12
SAMPLE 874,4
SAMPLE 875,12
SAMPLE 876,3
SAMPLE 877,12
SAMPLE 878,5
SAMPLE 879,4
SAMPLE 880,4
SAMPLE 881,12
SAMPLE 882,8
SAMPLE 883,12
SAMPLE 884,4
SAMPLE 885,3
SAMPLE 886,4
SAMPLE 887,7
SAMPLE 888,12
SAMPLE 889,5
SAMPLE 890,4
SAMPLE 891,5
SAMPLE 892,6
SAMPLE 893,5
SAMPLE 894,4
SAMPLE 895,7
SAMPLE 896,14
SAMPLE 897,8
SAMPLE 898,11
SAMPLE 899,11
SAMPLE 900,4
SAMPLE 901,11
SAMPLE 902,4
SAMPLE 903,4
SAMPLE 904,4
SAMPLE 905,4
SAMPLE 906,12
SAMPLE 907,4
SAMPLE 908,14
SAMPLE 909,14
SAMPLE 910,14
SAMPLE 911,10
SAMPLE 912,10
SAMPLE 913,6
SAMPLE 914,6
SAMPLE 915,4
SAMPLE 916,4
SAMPLE 917,4
SAMPLE 918,4
SAMPLE 919,4
SAMPLE 920,4
SAMPLE 921,4
SAMPLE 922,4
SAMPLE 923,4
SAMPLE 924,4
SAMPLE 925,2
SAMPLE 926,6
SAMPLE 927,11
SAMPLE 928,11
SAMPLE 929,11
SAMPLE 930,11
SAMPLE 931,6
SAMPLE 932,6
SAMPLE 933,6
SAMPLE 934,6
SAMPLE 935,6
SAMPLE 936,6
SAMPLE 937,6
SAMPLE 938,11
SAMPLE 939,11
SAMPLE 940,11
SAMPLE 941,11
SAMPLE 942,11
SAMPLE 943,11
SAMPLE 944,11
SAMPLE 945,11
SAMPLE 946,11
SAMPLE 947,11
SAMPLE 948,11
SAMPLE 949,11
SAMPLE 950,11
SAMPLE 951,11
SAMPLE 952,11
SAMPLE 953,11
SAMPLE 954,11
SAMPLE 955,11
SAMPLE 956,11
SAMPLE 957,11
SAMPLE 958,11
SAMPLE 959,11
