sample,cluster
SAMPLE 2414,3
SAMPLE 2415,4
SAMPLE 2416,3
SAMPLE 2417,3
SAMPLE 2418,4
SAMPLE 2419,4
SAMPLE 2420,8
SAMPLE 2421,13
SAMPLE 2422,6
SAMPLE 2423,8
SAMPLE 2424,3
SAMPLE 2425,3
SAMPLE 2426,12
SAMPLE 2427,4
SAMPLE 2428,4
SAMPLE 2429,4
SAMPLE 2430,12
SAMPLE 2431,12
SAMPLE 2432,12
SAMPLE 2433,4
SAMPLE 2434,3
SAMPLE 2435,12
SAMPLE 2436,13
SAMPLE 2437,14
SAMPLE 2438,14
SAMPLE 2439,14
SAMPLE 2440,3
SAMPLE 2441,3
SAMPLE 2442,12
SAMPLE 2443,12
SAMPLE 2444,8
SAMPLE 2445,4
SAMPLE 2446,12
SAMPLE 2447,1
SAMPLE 2448,6
SAMPLE 2449,8
SAMPLE 2450,3
SAMPLE 2451,13
SAMPLE 2452,4
SAMPLE 2453,3
SAMPLE 2454,14
SAMPLE 2455,11
SAMPLE 2456,4
SAMPLE 2457,3
SAMPLE 2458,6
SAMPLE 2459,13
SAMPLE 2460,12
SAMPLE 2461,3
SAMPLE 2462,4
SAMPLE 2463,13
SAMPLE 2464,3
SAMPLE 2465,13
SAMPLE 2466,6
SAMPLE 2467,13
SAMPLE 2468,3
SAMPLE 2469,3
SAMPLE 2470,8
SAMPLE 2471,12
SAMPLE 2472,3
SAMPLE 2473,3
SAMPLE 2474,4
SAMPLE 2475,14
SAMPLE 2476,4
SAMPLE 2477,14
SAMPLE 2478,4
SAMPLE 2479,4
SAMPLE 2480,4
SAMPLE 2481,4
SAMPLE 2482,11
SAMPLE 2483,6
SAMPLE 2484,12
SAMPLE 2485,4
SAMPLE 2486,8
SAMPLE 2487,6
SAMPLE 2488,6
SAMPLE 2489,6
SAMPLE 2490,6
SAMPLE 2491,6
SAMPLE 2492,6
SAMPLE 2493,6
SAMPLE 2494,6
SAMPLE 2495,6
SAMPLE 2496,6
SAMPLE 2497,6
SAMPLE 2498,6
SAMPLE 2499,6
SAMPLE 2500,6
SAMPLE 2501,6
SAMPLE 2502,6
SAMPLE 2503,6
SAMPLE 2504,6
SAMPLE 2505,6
SAMPLE 2506,6
SAMPLE 2507,6
SAMPLE 2508,5
SAMPLE 2509,5
SAMPLE 2510,6
SAMPLE 2511,6
SAMPLE 2512,4
SAMPLE 2513,4
SAMPLE 2514,6
SAMPLE 2515,1
SAMPLE 2516,2
SAMPLE 2517,3
SAMPLE 2518,4
SAMPLE 2519,3
SAMPLE 2520,3
SAMPLE 2521,3
SAMPLE 2522,4
SAMPLE 2523,14
SAMPLE 2524,7
SAMPLE 2525,8
SAMPLE 2526,14
SAMPLE 2527,3
SAMPLE 2528,13
SAMPLE 2529,12
SAMPLE 2530,12
SAMPLE 2531,4
SAMPLE 2532,3
SAMPLE 2533,12
SAMPLE 2534,5
SAMPLE 2535,4
SAMPLE 2536,4
SAMPLE 2537,4
SAMPLE 2538,6
SAMPLE 2539,5
SAMPLE 2540,4
SAMPLE 2541,4
SAMPLE 2542,4
SAMPLE 2543,4
SAMPLE 2544,4
SAMPLE 2545,4
SAMPLE 2546,4
SAMPLE 2547,4
SAMPLE 2548,6
SAMPLE 2549,4
SAMPLE 2550,4
SAMPLE 2551,4
SAMPLE 2552,5
SAMPLE 2553,10
SAMPLE 2554,5
SAMPLE 2555,5
SAMPLE 2556,10
SAMPLE 2557,10
SAMPLE 2558,11
SAMPLE 2559,10
SAMPLE 2560,10
SAMPLE 2561,5
SAMPLE 2562,10
SAMPLE 2563,5
SAMPLE 2564,5
SAMPLE 2565,5
SAMPLE 2566,5
SAMPLE 2567,10
SAMPLE 2568,5
SAMPLE 2569,5
SAMPLE 2570,4
SAMPLE 2571,3
SAMPLE 2572,14
SAMPLE 2573,5
SAMPLE 2574,4
SAMPLE 2575,4
SAMPLE 2576,4
SAMPLE 2577,3
SAMPLE 2578,4
SAMPLE 2579,4
SAMPLE 2580,8
SAMPLE 2581,3
SAMPLE 2582,2
SAMPLE 2583,3
SAMPLE 2584,4
SAMPLE 2585,4
SAMPLE 2586,4
SAMPLE 2587,3
SAMPLE 2588,3
SAMPLE 2589,3
SAMPLE 2590,3
SAMPLE 2591,12
SAMPLE 2592,2
SAMPLE 2593,2
SAMPLE 2594,2
SAMPLE 2595,4
SAMPLE 2596,8
SAMPLE 2597,14
SAMPLE 2598,4
SAMPLE 2599,4
SAMPLE 2600,4
SAMPLE 2601,3
SAMPLE 2602,4
SAMPLE 2603,4
SAMPLE 2604,4
SAMPLE 2605,4
SAMPLE 2606,4
SAMPLE 2607,3
SAMPLE 2608,5
SAMPLE 2609,3
SAMPLE 2610,3
SAMPLE 2611,3
SAMPLE 2612,4
SAMPLE 2613,4
SAMPLE 2614,3
SAMPLE 2615,4
SAMPLE 2616,3
SAMPLE 2617,3
SAMPLE 2618,12
SAMPLE 2619,4
SAMPLE 2620,4
SAMPLE 2621,3
SAMPLE 2622,3
SAMPLE 2623,4
SAMPLE 2624,4
SAMPLE 2625,4
SAMPLE 2626,4
SAMPLE 2627,4
SAMPLE 2628,4
SAMPLE 2629,4
SAMPLE 2630,4
SAMPLE 2631,11
SAMPLE 2632,11
SAMPLE 2633,3
SAMPLE 2634,3
SAMPLE 2635,4
SAMPLE 2636,4
SAMPLE 2637,4
SAMPLE 2638,4
SAMPLE 2639,4
SAMPLE 2640,4
SAMPLE 2641,8
SAMPLE 2642,3
SAMPLE 2643,3
SAMPLE 2644,3
SAMPLE 2645,4
SAMPLE 2646,12
SAMPLE 2647,3
SAMPLE 2648,11
SAMPLE 2649,11
SAMPLE 2650,12
SAMPLE 2651,4
SAMPLE 2652,8
SAMPLE 2653,8
SAMPLE 2654,8
SAMPLE 2655,12
SAMPLE 2656,4
SAMPLE 2657,4
SAMPLE 2658,12
SAMPLE 2659,12
SAMPLE 2660,4
SAMPLE 2661,12
SAMPLE 2662,8
SAMPLE 2663,12
SAMPLE 2664,2
SAMPLE 2665,2
SAMPLE 2666,2
SAMPLE 2667,10
SAMPLE 2668,10
SAMPLE 2669,10
SAMPLE 2670,4
SAMPLE 2671,4
SAMPLE 2672,4
SAMPLE 2673,4
SAMPLE 2674,4
SAMPLE 2675,4
SAMPLE 2676,4
SAMPLE 2677,4
SAMPLE 2678,6
SAMPLE 2679,10
SAMPLE 2680,11
SAMPLE 2681,11
SAMPLE 2682,6
SAMPLE 2683,4
SAMPLE 2684,4
SAMPLE 2685,4
SAMPLE 2686,4
SAMPLE 2687,4
SAMPLE 2688,11
SAMPLE 2689,5
SAMPLE 2690,4
SAMPLE 2691,4
SAMPLE 2692,12
SAMPLE 2693,5
SAMPLE 2694,5
SAMPLE 2695,5
SAMPLE 2696,5
SAMPLE 2697,5
SAMPLE 2698,5
SAMPLE 2699,5
SAMPLE 2700,5
SAMPLE 2701,5
SAMPLE 2702,4
SAMPLE 2703,3
SAMPLE 2704,3
SAMPLE 2705,3
SAMPLE 2706,4
SAMPLE 2707,4
SAMPLE 2708,4
SAMPLE 2709,4
SAMPLE 2710,5
SAMPLE 2711,5
SAMPLE 2712,5
SAMPLE 2713,5
SAMPLE 2714,5
SAMPLE 2715,5
SAMPLE 2716,5
SAMPLE 2717,5
SAMPLE 2718,4
SAMPLE 2719,3
SAMPLE 2720,4
SAMPLE 2721,4
SAMPLE 2722,13
SAMPLE 2723,4
SAMPLE 2724,7
SAMPLE 2725,7
SAMPLE 2726,7
SAMPLE 2727,7
SAMPLE 2728,7
SAMPLE 2729,5
SAMPLE 2730,5
SAMPLE 2731,5
SAMPLE 2732,5
SAMPLE 2733,5
SAMPLE 2734,10
SAMPLE 2735,14
SAMPLE 2736,1
SAMPLE 2737,5
SAMPLE 2738,5
SAMPLE 2739,5
SAMPLE 2740,5
SAMPLE 2741,5
SAMPLE 2742,5
SAMPLE 2743,5
SAMPLE 2744,5
SAMPLE 2745,5
SAMPLE 2746,4
SAMPLE 2747,1
SAMPLE 2748,4
SAMPLE 2749,4
SAMPLE 2750,4
SAMPLE 2751,4
SAMPLE 2752,4
SAMPLE 2753,4
SAMPLE 2754,4
SAMPLE 2755,4
SAMPLE 2756,4
SAMPLE 2757,4
SAMPLE 2758,4
SAMPLE 2759,4
SAMPLE 2760,1
SAMPLE 2761,5
SAMPLE 2762,5
SAMPLE 2763,5
SAMPLE 2764,5
SAMPLE 2765,5
SAMPLE 2766,5
SAMPLE 2767,5
SAMPLE 2768,5
SAMPLE 2769,5
SAMPLE 2770,5
SAMPLE 2771,2
SAMPLE 2772,4
SAMPLE 2773,4
SAMPLE 2774,4
SAMPLE 2775,4
SAMPLE 2776,2
SAMPLE 2777,4
SAMPLE 2778,11
SAMPLE 2779,11
SAMPLE 2780,11
SAMPLE 2781,4
SAMPLE 2782,4
SAMPLE 2783,4
SAMPLE 2784,9
SAMPLE 2785,1
SAMPLE 2786,7
SAMPLE 2787,5
SAMPLE 2788,5
SAMPLE 2789,5
SAMPLE 2790,5
SAMPLE 2791,5
SAMPLE 2792,5
SAMPLE 2793,5
SAMPLE 2794,5
SAMPLE 2795,8
SAMPLE 2796,4
SAMPLE 2797,5
SAMPLE 2798,4
SAMPLE 2799,14
SAMPLE 2800,4
SAMPLE 2801,4
